Brand,Price,Rating,Ratings Count,Condition,Seller Note,Processor,Screen Size,Manufacturer Color,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Release Year,Maximum Resolution,Model,OS,Features,Hard Drive Capacity,Country Region Of Manufacture,Storage Type
Dell,$218.00 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab",“Good working used condition - wear marks from use - if necessary we have installed a new palmrest ...  Read moreabout the seller notes“Good working used condition - wear marks from use - if necessary we have installed a new palmrest skin. AC Adapter (Power Cord) included.” Read Lessabout the seller notes ,Intel Core i5 8th Gen.,15.6 in,,Black,16 GB,512 GB,Intel HD Graphics 620,1.60 GHz,Notebook/Laptop,,1920 x 1080,Dell Latitude E5500,Not Included,"Backlit Keyboard, Bluetooth, Built-in Webcam, Touchscreen, Wi-Fi",,,SSD (Solid State Drive)
Dell,$129.99 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab","“Tested and guaranteed by certified dell laptop technicians. This laptop was used before and will ...  Read moreabout the seller notes“Tested and guaranteed by certified dell laptop technicians. This laptop was used before and will show normal signs of use and handling with nothing major, The screen is NOT cracked and the computer is intact, the PC Laptop is fully tested and working normally. A brand new copy of Windows 10 Pro is installed and active. Ready for use out of the box with an Authentic charger” Read Lessabout the seller notes ",Intel Celeron,11 in,,Black,4 GB,128 GB,Intel UHD Graphics 600,1.10 GHz,Notebook/Laptop,2019,1366 x 768,Dell Latitude 3189,Windows 10 Pro,"Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen",128 GB,,SSD (Solid State Drive)
Acer,$39.99 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab","“Acer Chromebook C731 in certified excellent, used condition.Displays light to normal signs of wear; ...  Read moreabout the seller notes“Acer Chromebook C731 in certified excellent, used condition.Displays light to normal signs of wear; NO cracks, deep scuffs, or dents.Features 4GB RAM, 16GB SSD, HDMI, Wi-Fi connectivity, and a built-in webcam.Ideal for students, professionals, or casual browsing.” Read Lessabout the seller notes ",Intel Celeron N,11.6 in,,Gray,4 GB,16 GB,Intel HD Graphics,1.60 GHz,Notebook/Laptop,2018,1366 x 768,Acer Chromebook C731,Chrome OS,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Wi-Fi",16 GB,,SSD (Solid State Drive)
Dell,$392.99 to $613.80,,,"Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab","“AAA PCs is a Microsoft Authorized Refurbisher Partner. (MAR) Your computer will ship securely and ...  Read moreabout the seller notes“AAA PCs is a Microsoft Authorized Refurbisher Partner. (MAR) Your computer will ship securely and neatly in a new brown box to ensure a great delivery experience. Minimal imperfections may be present on the unit, such as light scuffs or light scratches. Genuine AC adapter & battery included with your order. Your order is backed by our 30 day money-back guarantee, and extended 1-year Allstate warranty.” Read Lessabout the seller notes ",Intel Core i7 8th Gen.,14 in,,Black,,,Intel UHD Graphics 620,4.20 GHz (1.90 GHz Base Frequency),Notebook/Laptop,Refurbished in 2023,1920 x 1080,Dell Latitude 7400,Windows 11 Pro,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad, Widescreen Display, Wi-Fi",2 TB,,SSD (Solid State Drive)
Dell,$625.00 ,,,"Open box: An item in excellent, new condition with no wear. The item may be missing the original ...  Read moreabout the conditionOpen box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. See all condition definitionsopens in a new window or tab ",,Intel Core i7 13th Gen.,16 in,,,32 GB,1 TB,,4.40 GHz,,2023,2560 x 1600,16 Plus 7630,Windows 11 Home,"3D Camera,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",1 TB,,SSD (Solid State Drive)
Dell,$315.00 ,5 out of 5 stars,1,,,AMD Ryzen 5,14 in,,Silver,16 GB,512 GB,AMD Radeon Graphics,2.30 GHz,"N/A, Notebook/Laptop",,1920 x 1080,Dell Inspiron 14 5425,Windows 11 Home,,,,SSD (Solid State Drive)
Dell,$199.99 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab","“This dell computer was used before and will show normal signs of use and handling, Everything is ...  Read moreabout the seller notes“This dell computer was used before and will show normal signs of use and handling, Everything is guaranteed to work as it should” Read Lessabout the seller notes ",Intel Core i5 6th Gen.,12.5 in,Black,Black,8 GB,256 GB,Intel HD Graphics,2.60 GHz,Notebook/Laptop,2013,1920 x 1080,Dell Latitude 5289,Windows 10,"Bluetooth,  Built-in Microphone,  Built-in Webcam",256 GB,United States,SSD (Solid State Drive)
,$227.32 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab",“s. Details”,,,,,,,,,,,,,,,,,
HP,$299.99 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,i5-8365U,13 in,,Silver,16 GB,512 GB,Intel UHD 620 1024 MB,1.60 GHz,Notebook/Laptop,2019,3000 x 2000,HP Elite X2 G4,FreeDOS,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen",,,SSD (Solid State Drive)
Microsoft,$59.99 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab",“The device is in good working & and cosmetic condition.”,Intel Core i5 4th Gen.,12 in,,Gray,4 GB,128 GB,,1.90 GHz,Notebook/Laptop,,2160 x 1440,Microsoft Surface Pro 3,Windows 10 Pro,,128 GB,,SSD (Solid State Drive)
Lenovo,$44.99 ,5 out of 5 stars,1,,,Intel Celeron N,11.6 in,,Black,4 MB,16 GB,Intel HD Graphics 500,1.10 GHz,Notebook/Laptop,,1366 x 768,Lenovo 100e,Chrome OS,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, Multi-Touch Trackpad, Rugged, Built-in Microphone",,,eMMC
HP,$439.00 to $629.00,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,Intel Core i5-1135G7,15.6 in,,Natural Silver,Up to 32GB,Up to 2TB,Intel Iris Xe Graphics,Up to 4.2GHz,Notebook/Laptop,2023,1920 x 1080,HP 15 Essential,Windows 11 Home,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi, USB 3.2, Ethernet, Media card reader, USB-C",Up to 2TB,,SSD (Solid State Drive)
,$206.65 to $315.42,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab",“Sehr guter technischer und optischer Zustand. Geringe Gebrauchsspuren können vorhanden sein.”,,,,,,,,,,,,,,,,,
Dell,$344.99 ,,,"Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab","“The item shows minimal wear and is backed by a one year warranty. It is fully functional and has ...  Read moreabout the seller notes“The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.” Read Lessabout the seller notes ",Intel Core i5 7th Gen.,15.6 in,,Black,16 GB,512 GB,Intel HD Graphics 620,3.10 GHz (2.50 GHz Base Frequnecy),Notebook/Laptop,Refurbished in 2023,1920 x 1080,Dell Latitude 5580,Windows 10 Pro,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, LTE, Multi-Touch Trackpad, Widescreen Display, Wi-Fi",512 GB,,SSD (Solid State Drive)
CHUWI,$241.99 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,Quad Core,15.6 in,,Gray,16 GB,512 GB,Intel UHD Graphics,up to 3.4Ghz,Notebook/Laptop,2023,1920 x 1080,GemiBook Plus,Windows 11 Home,"Built-in Microphone,  Built-in Webcam,  Bluetooth,  Wi-Fi",512 GB,China,SSD (Solid State Drive)
HP,$419.99 to $654.00,,,"Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab","“AAA PCs is a Microsoft Authorized Refurbisher Partner. (MAR) Your computer will ship securely and ...  Read moreabout the seller notes“AAA PCs is a Microsoft Authorized Refurbisher Partner. (MAR) Your computer will ship securely and neatly in a new brown box to ensure a great delivery experience. Minimal imperfections may be present on the unit, such as light scuffs or light scratches. Genuine AC adapter & battery included with your order. Your order is backed by our 30 day money-back guarantee, and extended 1-year Allstate warranty.” Read Lessabout the seller notes ",Intel Core i7 8th Gen.,14 in,,Black,,,Intel UHD Graphics 620,4.20 GHz (1.90 GHz Base Frequency),Notebook/Laptop,Refurbished in 2023,1920 x 1080,HP EliteBook 840 G6,Windows 11 Pro,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Widescreen Display,  Wi-Fi",2 TB,,SSD (Solid State Drive)
Lenovo,$72.99 to $85.99,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab",“Fully tested working. Windows 10 Home installed and activated. Complete and ready to use.”,Intel Celeron N3160,11.6 in,,Black,,128 GB,,1.60 GHz,Convertible 2-in-1 Laptop/Tablet,,1366 x 768,Yoga 11e 3rd Gen.,Windows 10 Home,"10/100 LAN Card, Bluetooth, Built-in Microphone, Built-in Webcam, Force Touch Trackpad, Multi-Touch Trackpad, Touchscreen, Wi-Fi",,,SSD (Solid State Drive)
HP,$209.00 ,,,"Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab","““Tested working. The Unit shows minor cosmetic signs of wear and tear (scratches, scuffing, etc.). ...  Read moreabout the seller notes““Tested working. The Unit shows minor cosmetic signs of wear and tear (scratches, scuffing, etc.). See pictures for details. Include AC adapter. As the battery is used, battery life is NOT guaranteed.”” Read Lessabout the seller notes ",i5-7200U,15.6 in,,Black,16 GB,512 GB,Intel HD Graphics,2.50 GHz,Notebook/Laptop,,,HP ProBook 650 G3,Windows 11 Pro,"Bluetooth, Built-in Microphone, Built-in Webcam, Optical Drive, Wi-Fi",,,SSD (Solid State Drive)
Chuwi,$149.99 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,Intel Celeron N4100,14.1 in,,Gray,8 GB,256 GB,Intel UHD Graphics 600,up to 2.8GHZ,Notebook/Laptop,,1920 x 1080,CHUWI LapBook Pro,Windows 11 Home,"Bluetooth, Backlit Keyboard, Built-in Microphone, Built-in Webcam, Wi-Fi",256 GB,,SSD (Solid State Drive)
Lenovo,$799.00 ,4 out of 5 stars,1,,,Intel Core i7 12th Gen.,16 in,Storm Gray,Gray,16 GB,512 GB,NVIDIA GeForce RTX 3050 Ti,3.50 GHz,Notebook/Laptop,2022,2560 x 1600,Lenovo Legion 5 Pro 16IAH7,Windows 11 Home,"Bluetooth, Wi-Fi",,,SSD (Solid State Drive)
Lenovo,$99.99 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab","“Lenovo ThinkPad T440 in used but well-maintained condition.Pristine condition screen and ...  Read moreabout the seller notes“Lenovo ThinkPad T440 in used but well-maintained condition.Pristine condition screen and keyboard.Normal wear on exterior without deep scuffs, cracks, or dents.Reliable performance with a 14"" touchscreen display.” Read Lessabout the seller notes ",Intel Core i5-4300U,14 in,,Dark Brown,8 GB,256 GB,Intel HD Graphics,1.9 GHz,Notebook/Laptop,,,Lenovo ThinkPad T440,,Touchscreen,256 GB,,SSD (Solid State Drive)
Dell,$218.99 ,,,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",,i7-7820HQ,"15.6"" 1080P FHD",,Black,16 GB,512 GB,,2.8 to 3.9GHz,Notebook,,1920 x 1080,E5580,Windows 11 Pro,"Backlit Keyboard, Built-in Webcam",512GB SSD,,SSD (Solid State Drive)
Dell,$152.50 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab","“An item that has been used previously. The item may have some signs of cosmetic wear, but is fully ...  Read moreabout the seller notes“An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections.” Read Lessabout the seller notes ",Intel Core i5-4200U,14 in,,Black,8 GB,256 GB,Intel HD Graphics 4400,1.60 GHz,Notebook/Laptop,2014,1366 x 768,Dell Latitude E5440,Windows 10 Home,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Widescreen Display,  Wi-Fi,  Anti-glare HD LED Display,  WLED Backlight",,,SSD (Solid State Drive)
CHUWI,$269.49 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,Intel Celeron N5100,13.5 in,,Gray,12 GB,512 GB,Intel® UHD Graphics,2.80 GHz,Notebook/Laptop,2022,2256 x 1504,CHUWI FreeBook,Windows 10 Home,"Bluetooth, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet",12 GB,,SSD (Solid State Drive)
Lenovo,$130.00 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab",“Comprenew Grade B: Full Functionality | All Functions Perform as Intended”,Intel Core i5-8250U,14 in,,Black,16 GB,256 GB,,,,,,L380,Not Included,"Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Stylus, Touchscreen",,,
Dell,$489.00 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,AMD Ryzen 5,15.6 in,,Carbon Black,16 GB,512 GB,AMD Radeon Graphics,Up to 4.5GHz,Notebook/Laptop,2023,1920 x 1080,Dell Inspiron 15 3535,Windows 11 Home,"Bluetooth, Wi-Fi, MaxxAudio Pro, Media Card Reader, Wi-Fi 5, USB-C 3.2",512 GB,,SSD (Solid State Drive)
Dell,$119.99 ,,,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",,Intel Core i5 6th Gen.,14 in,,Black,8 GB,,,2.40 GHz,Notebook/Laptop,2019,1920 x 1080,5414,Not Included,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Rugged,  Stylus,  Touchscreen,  Wi-Fi,  Wifi",8 GB,,SSD (Solid State Drive)
LG,$550.00 ,,,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",,Intel Core i7 13th Gen,17.3 in,,Black,16 GB,512 GB,,,Notebook/Laptop,,,17ZB90R-K.AAC7U1,Windows Home 11,,,,
