Brand,Price,Currency,Color,Features,Condition,Condition Description,Seller Note,GPU,Processor,Processor Speed,Processor Speed Unit,Type,Width of the Display,Height of the Display,OS,Storage Type,Hard Drive Capacity,Hard Drive Capacity Unit,SSD Capacity,SSD Capacity Unit,Screen Size (inch),Ram Size,Ram Size Unit
dell,393.0,$,black,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad, Widescreen Display, Wi-Fi",Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.","aaa pcs is a microsoft authorized refurbisher partner. (mar) your computer will ship securely and neatly in a new brown box to ensure a great delivery experience. minimal imperfections may be present on the unit, such as light scuffs or light scratches. genuine ac adapter & battery included with your order. your order is backed by our 30 day money-back guarantee, and extended 1-year allstate warranty.",intel,intel core i7 8th generation,4.20,GHz,notebook/laptop,1920,1080,windows,ssd,2,tb,,unknown,14,,unknown
dell,625.0,$,other,"3D Camera,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",Open box,"An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description.",undefined,other,intel core i7 13th generation,4.40,GHz,other,2560,1600,windows,ssd,1,tb,1,tb,16,32,gb
dell,315.0,$,silver,,Undefined,Undefined,undefined,amd,amd ryzen 5,2.30,GHz,notebook/laptop,1920,1080,windows,ssd,,unknown,512,gb,14,16,gb
dell,200.0,$,black,"Bluetooth,  Built-in Microphone,  Built-in Webcam",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","this dell computer was used before and will show normal signs of use and handling, everything is guaranteed to work as it should",intel,intel core i5 6th generation,2.60,GHz,notebook/laptop,1920,1080,windows,ssd,256,gb,256,gb,12.5,8,gb
other,227.4,$,other,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",s. details,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
hp,300.0,$,silver,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,i5-8365u,1.60,GHz,notebook/laptop,3000,2000,unknown,ssd,,unknown,512,gb,13,16,gb
microsoft,60.0,$,gray,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",the device is in good working & and cosmetic condition.,other,intel core i5 4th generation,1.90,GHz,notebook/laptop,2160,1440,windows,ssd,128,gb,128,gb,12,4,gb
lenovo,45.0,$,black,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, Multi-Touch Trackpad, Rugged, Built-in Microphone",Undefined,Undefined,undefined,intel,intel celeron n,1.10,GHz,notebook/laptop,1366,768,chrome,emmc,,unknown,16,gb,11.6,4,mb
hp,439.0,$,silver,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi, USB 3.2, Ethernet, Media card reader, USB-C",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,intel core i5-1135g7,o4.2,GHz,notebook/laptop,1920,1080,windows,ssd,2,tb,2,tb,15.6,32,gb
other,206.6,$,other,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",sehr guter technischer und optischer zustand. geringe gebrauchsspuren können vorhanden sein.,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
dell,345.0,$,black,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, LTE, Multi-Touch Trackpad, Widescreen Display, Wi-Fi",Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.","the item shows minimal wear and is backed by a one year warranty. it is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. the item includes original or new accessories and will come in new generic packaging. see the seller's listing for full details.",intel,intel core i5 7th generation,3.10,GHz,notebook/laptop,1920,1080,windows,ssd,512,gb,512,gb,15.6,16,gb
other,242.0,$,gray,"Built-in Microphone,  Built-in Webcam,  Bluetooth,  Wi-Fi",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,quad core,o3.4,GHz,notebook/laptop,1920,1080,windows,ssd,512,gb,512,gb,15.6,16,gb
hp,420.0,$,black,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Widescreen Display,  Wi-Fi",Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.","aaa pcs is a microsoft authorized refurbisher partner. (mar) your computer will ship securely and neatly in a new brown box to ensure a great delivery experience. minimal imperfections may be present on the unit, such as light scuffs or light scratches. genuine ac adapter & battery included with your order. your order is backed by our 30 day money-back guarantee, and extended 1-year allstate warranty.",intel,intel core i7 8th generation,4.20,GHz,notebook/laptop,1920,1080,windows,ssd,2,tb,,unknown,14,,unknown
lenovo,73.0,$,black,"10/100 LAN Card, Bluetooth, Built-in Microphone, Built-in Webcam, Force Touch Trackpad, Multi-Touch Trackpad, Touchscreen, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",fully tested working. windows 10 home installed and activated. complete and ready to use.,other,intel celeron n3160,1.60,GHz,notebook/laptop,1366,768,windows,ssd,,unknown,128,gb,11.6,,unknown
hp,209.0,$,black,"Bluetooth, Built-in Microphone, Built-in Webcam, Optical Drive, Wi-Fi",Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.","tested working. the unit shows minor cosmetic signs of wear and tear (scratches, scuffing, etc.). see pictures for details. include ac adapter. as the battery is used, battery life is not guaranteed.",intel,i5-7200u,2.50,GHz,notebook/laptop,,,windows,ssd,,unknown,512,gb,15.6,16,gb
other,150.0,$,gray,"Bluetooth, Backlit Keyboard, Built-in Microphone, Built-in Webcam, Wi-Fi",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,intel celeron n4100,o2.8,GHz,notebook/laptop,1920,1080,windows,ssd,256,gb,256,gb,14.1,8,gb
lenovo,799.0,$,gray,"Bluetooth, Wi-Fi",Undefined,Undefined,undefined,nvidia,intel core i7 12th generation,3.50,GHz,notebook/laptop,2560,1600,windows,ssd,,unknown,512,gb,16,16,gb
lenovo,100.0,$,brown,Touchscreen,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","lenovo thinkpad t440 in used but well-maintained condition.pristine condition screen and keyboard.normal wear on exterior without deep scuffs, cracks, or dents.reliable performance with a 14"" touchscreen display.",intel,intel core i5-4300u,1.9,GHz,notebook/laptop,,,unknown,ssd,256,gb,256,gb,14,8,gb
dell,219.0,$,black,"Backlit Keyboard, Built-in Webcam",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,i7-7820hq,o3.9,GHz,notebook/laptop,1920,1080,windows,ssd,512,gb,512,gb,15.61,16,gb
dell,152.5,$,black,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Widescreen Display,  Wi-Fi,  Anti-glare HD LED Display,  WLED Backlight",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","an item that has been used previously. the item may have some signs of cosmetic wear, but is fully operational and functions as intended. this item may be a floor model or store return that has been used. see the seller’s listing for full details and description of any imperfections.",intel,intel core i5-4200u,1.60,GHz,notebook/laptop,1366,768,windows,ssd,,unknown,256,gb,14,8,gb
other,269.5,$,gray,"Bluetooth, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,intel celeron n5100,2.80,GHz,notebook/laptop,2256,1504,windows,ssd,12,gb,512,gb,13.5,12,gb
lenovo,130.0,$,black,"Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Stylus, Touchscreen",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",comprenew grade b: full functionality | all functions perform as intended,other,intel core i5-8250u,,unknown,other,,,unknown,unknown,,unknown,256,gb,14,16,gb
dell,489.0,$,black,"Bluetooth, Wi-Fi, MaxxAudio Pro, Media Card Reader, Wi-Fi 5, USB-C 3.2",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,amd,amd ryzen 5,o4.5,GHz,notebook/laptop,1920,1080,windows,ssd,512,gb,512,gb,15.6,16,gb
dell,120.0,$,black,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Rugged,  Stylus,  Touchscreen,  Wi-Fi,  Wifi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel core i5 6th generation,2.40,GHz,notebook/laptop,1920,1080,unknown,ssd,8,gb,,unknown,14,8,gb
lg,550.0,$,black,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel core i7 13th gen,,unknown,notebook/laptop,,,windows,unknown,,unknown,512,gb,17.3,16,gb
hp,29.98,$,multicolor,Wi-Fi,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel celeron,2.16,GHz,notebook/laptop,1366,768,chrome,ssd,16,gb,16,gb,14,16,gb
hp,145.0,$,black,"Bluetooth,  Built-in Webcam,  Optical Drive,  Wi-Fi",Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.","tested working. the unit shows minor cosmetic signs of wear and tear (scratches, scuffing, etc.). see pictures for details. include ac adapter. as the battery is used, battery life is not guaranteed.",intel,intel core i3 6th generation,2.30,GHz,notebook/laptop,,,windows,ssd,,unknown,512,gb,15.6,8,gb
dell,160.0,$,other,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","certified in excellent working condition by our expert technicians. fully functional, normal signs of wear, rigorously tested, and cleaned.",other,intel i5,2.30,GHz,other,,,windows,ssd,256,gb,256,gb,15.6,8,gb
hp,85.0,$,multicolor,"Bluetooth,  Built-in Webcam,  Wi-Fi,  Built-in Microphone",Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.",1-year allstate warranty. the original hp charger is included.,intel,intel celeron,,unknown,notebook/laptop,1366,768,chrome,emmc,16,gb,16,gb,11.6,4,gb
microsoft,69.6,$,other,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam",For parts or not working,"An item that does not function as intended and is not fully operational. This includes items that are defective in ways that render them difficult to use, items that require service or repair, items that are locked or can't be activated, or items missing essential components. See the seller's listing for full details.","surface pro 4. 8gb 256gb version screen glass is cracked. touch function is still working. all other parts are working fine. battery holds charge and tested for 1 hour.(it could run more) mainboard, ssd, cameras - front/rear, wifi, etc. working excellent. no charger, keyboard included. charger and keyboard can be included for £20/£20 extra on topitem shipped from the uk",other,intel core i5,,unknown,notebook/laptop,,,unknown,ssd,256,gb,256,gb,12.5,256,gb
hp,70.0,$,black,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Wi-Fi,  Widescreen Display",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","mint condition, like new! hp chromebook 11 g5 in stellar condition. our certified technicians have meticulously inspected this unit to guarantee 100% functionality. exhibits minimal signs of handling, with a flawless screen and keyboard. prepped with a factory reset, this chromebook is primed to delight right from the package.",intel,intel celeron n,1.6,GHz,other,1366,768,chrome,emmc,16,gb,16,gb,11.6,4,gb
hp,49.0,$,gray,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,amd a4 dual-core,1.60,GHz,notebook/laptop,1366,768,chrome,emmc,16,gb,16,gb,11.6,4,gb
dell,130.0,$,black,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Force Touch Trackpad, Built-in Microphone",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i7 6th generation,2.60,GHz,notebook/laptop,1920,1080,windows,ssd,256,gb,256,gb,12.5,8,gb
lenovo,135.0,$,other,,For parts or not working,"An item that does not function as intended and is not fully operational. This includes items that are defective in ways that render them difficult to use, items that require service or repair, items that are locked or can't be activated, or items missing essential components. See the seller's listing for full details.",undefined,other,not applicable,,unknown,other,,,unknown,unknown,,unknown,,unknown,14,,unknown
lenovo,81.0,$,black,"Touchscreen, Bluetooth, Built-in Microphone, Built-in Webcam",Undefined,Undefined,undefined,other,intel core i5 2nd generation,2.50,GHz,notebook/laptop,1366,768,windows,hdd/ssd,320,gb,120,gb,12.5,4,gb
microsoft,103.75,$,silver,"Multi-Touch Trackpad, Built-in Microphone, Backlit Keyboard, Bluetooth, Touchscreen, Wi-Fi, Convertible 2-in-1 Laptop/Tablet, Built-in Webcam, Force Touch Trackpad",Undefined,Undefined,undefined,other,nvidia tegra 3,2.60,GHz,other,3000,2000,unknown,ssd,512,gb,,unknown,13.5,1,gb
dell,200.0,$,black,"10/100 LAN Card, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","tested/working. windows 10, power adapter included. the laptop has frame damage on the backside.",nvidia,i5-7300hq,2.5,GHz,notebook/laptop,1920,1080,windows,ssd,,unknown,256,gb,15.6,8,gb
dell,288.0,$,other,"Touchscreen, Widescreen Display, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",the laptop is overall in good working condition. internal components are fully verified and certified by our dell laptop technicians!,intel,core i7,2.80,GHz,notebook/laptop,,,windows,ssd,,unknown,512,gb,12.5,,unknown
dell,105.0,$,black,"10/100 LAN Card,  Built-in Webcam,  Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",good used condition. some minor scratches and scuffs from normal wear and tear.,other,intel core i5 6th generation,2.60,GHz,notebook/laptop,1920,1080,windows,ssd,256,gb,256,gb,14,8,gb
dell,39.94,$,black,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","used in good working condition. may have some scratches, scuffs, and general signs of use.",other,intel celeron,1.60,GHz,notebook/laptop,1366,768,chrome,emmc,16,gb,16,gb,13.3,4,gb
lenovo,90.0,$,black,Touchscreen,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel core i3-6100u,2.30,GHz,other,1366,768,windows,ssd,128,gb,128,gb,11.6,8,gb
lenovo,599.0,$,grey,"5G,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Touchscreen,  Wi-Fi,  Dual Speakers",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,intel core i5-1135g7,4.20,GHz,notebook/laptop,1920,1080,windows,ssd,1,tb,1,tb,15.6,20,gb
other,800.0,$,other,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel i7-q740 1.73ghz,1.73,GHz,notebook/laptop,,,windows,hdd/ssd,500,gb,500,gb,18.4,8,gb
dell,170.0,$,other,,Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.",fully tested great condition one year warranty,other,intel core i5 6th generation,2.40,GHz,notebook/laptop,,,unknown,ssd,500,gb,500,gb,14,16,gb
dell,239.0,$,other,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel core i7 6th generation,2.70,GHz,notebook/laptop,,,windows,ssd,,unknown,512,gb,15.6,16,gb
