Course Title,Rating,Level,Duration,Schedule,Review,What you will learn,Skill gain,Modules,Instructor,Offered By,Keyword,Course Url
"HTML, CSS, and Javascript for Web Developers",4.7,,Approx. 40 hours to complete,Flexible schedule,"16,010 reviews",,"['HTML', 'JavaScript', 'Css Frameworks', 'Cascading Style Sheets (CSS)']","['Introduction to HTML5', 'Introduction to CSS3', 'Coding the Static Restaurant Site', 'Introduction to Javascript', 'Using Javascript to Build Web Applications']",['Yaakov Chaikin'],['Johns Hopkins University'],Computer Science,https://www.coursera.org/learn/html-css-javascript-for-web-developers
IBM Data Science Professional Certificate,4.6,Beginner level,5 months at 10 hours a week,Flexible schedule,"68,453 reviews","Master the most up-to-date practical skills and knowledge that data scientists use in their daily rolesLearn the tools, languages, and libraries used by professional data scientists, including Python and SQLImport and clean data sets, analyze and visualize data, and build machine learning models and pipelinesApply your new skills to real-world projects and build a portfolio of data projects that showcase your proficiency to employers","['Data Science', 'Big Data', 'Python Programming', 'Github', 'Machine Learning', 'Deep Learning', 'Methodology', 'SQL', 'Rstudio', 'Data Mining', 'Jupyter notebooks']","['What is Data Science? ', 'Tools for Data Science', 'Data Science Methodology', 'Python for Data Science, AI & Development', 'Python Project for Data Science', 'Databases and SQL for Data Science with Python', 'Data Analysis with Python', 'Data Visualization with Python', 'Machine Learning with Python', 'Applied Data Science Capstone']","['Dr. Pooja', 'Yan Luo', 'Svetlana Levitan', 'SAEED AGHABOZORGI', 'Hima Vasudevan', 'Joseph Santarcangelo', 'Polong Lin', 'Romeo Kienzler', 'Rav Ahuja', 'Aije Egwaikhide', 'Alex Aklson', 'Saishruthi Swaminathan', 'Azim Hirjani']",['IBM'],Computer Science,https://www.coursera.org/professional-certificates/ibm-data-science
Fundamentals of Computing Specialization,4.8,Beginner level,2 months at 10 hours a week,Flexible schedule,"2,902 reviews",,"['Recursion', 'Algorithms', 'Python Programming', 'Dynamic Programming']","['An Introduction to Interactive Programming in Python (Part 1)', 'An Introduction to Interactive Programming in Python (Part 2)', 'Principles of Computing (Part 1)', 'Principles of Computing (Part 2)', 'Algorithmic Thinking (Part 1)', 'Algorithmic Thinking (Part 2)', 'The Fundamentals of Computing Capstone Exam']","['Luay Nakhleh', 'Joe Warren', 'John Greiner', 'Stephen Wong', 'Scott Rixner']",['Rice University'],Computer Science,https://www.coursera.org/specializations/computer-fundamentals
Meta Front-End Developer Professional Certificate,4.7,Beginner level,7 months at 6 hours a week,Flexible schedule,"14,351 reviews","Create a responsive website using HTML to structure content, CSS to handle visual style, and JavaScript to develop interactive experiences. Learn to use React in relation to Javascript libraries and frameworks.Learn Bootstrap CSS Framework to create webpages and work with GitHub repositories and version control.Prepare for a coding interview, learn best approaches to problem-solving, and build portfolio-ready projects you can share during job interviews.","['HTML', 'UI/UX design', 'JavaScript', 'Cascading Style Sheets (CSS)', 'React']","['Introduction to Front-End Development', 'Programming with JavaScript', 'Version Control', 'HTML and CSS in depth', 'React Basics', 'Advanced React', 'Principles of UX/UI Design', 'Front-End Developer Capstone ', 'Coding Interview Preparation']",['Taught by Meta Staff'],['Meta'],Computer Science,https://www.coursera.org/professional-certificates/meta-front-end-developer
Accelerated Computer Science Fundamentals Specialization,4.7,Intermediate level,2 months at 10 hours a week,Flexible schedule,"2,451 reviews","Design and implement an object-oriented program in the C++ language, including defining classes that encapsulate data structures and algorithms.Select and implement appropriate data structures that best utilize resources to solve a computational problem.Analyze the running time and space needs of an algorithm, asymptotically to ensure it is appropriate at scale, including for big data.Prepare for advanced courses in CS with the foundational knowledge of object data structures needed to implement and call advanced library functions.","['Trees (Data Structures)', 'Algorithms', 'Hash Table', 'Object-Oriented Programming (OOP)', 'Run-time Analysis']","['Object-Oriented Data Structures in C++', 'Ordered Data Structures', 'Unordered Data Structures']",['Wade Fagen-Ulmschneider'],['University of Illinois at Urbana-Champaign'],Computer Science,https://www.coursera.org/specializations/cs-fundamentals
Code Yourself! An Introduction to Programming,4.7,Beginner level,Approx. 11 hours to complete,Flexible schedule,"3,329 reviews",,"['Computer Programming', 'Algorithms', 'Programming Language', 'Scratch (Programming Language)']","['Your First Computer Program', 'Code Gone Loopy!', 'Remixing Games', 'Reusing Your Code', 'Think Like a Software Engineer']","['Dr Areti Manataki', 'Inés Friss de Kereki']","['The University of Edinburgh', 'Universidad ORT Uruguay']",Computer Science,https://www.coursera.org/learn/intro-programming
Computational Thinking for Problem Solving,4.7,Beginner level,Approx. 17 hours to complete,Flexible schedule,"1,351 reviews",,"['Simple Algorithm', 'Python Programming', 'Problem Solving', 'Computation']","['Pillars of Computational Thinking', 'Expressing and Analyzing Algorithms', 'Fundamental Operations of a Modern Computer', 'Applied Computational Thinking Using Python']",['Susan Davidson'],['University of Pennsylvania'],Computer Science,https://www.coursera.org/learn/computational-thinking-problem-solving
Data Structures and Algorithms Specialization,4.6,Intermediate level,5 months at 10 hours a week,Flexible schedule,"13,089 reviews","Play with 50 algorithmic puzzles on your smartphone to develop your algorithmic intuition!  Apply algorithmic techniques (greedy algorithms, binary search, dynamic programming, etc.) and data structures (stacks, queues, trees, graphs, etc.) to solve 100 programming challenges that often appear at interviews at high-tech companies. Get an instant feedback on whether your solution is correct.Apply the newly learned algorithms to solve real-world challenges: navigating in a Big Network  or assembling a genome of a deadly pathogen from millions of short substrings of its DNA.Learn exactly the same material as undergraduate students in “Algorithms 101” at top universities and more! We are excited that students from various parts of the world are now studying our online materials in the Algorithms 101 classes at their universities. Here is a quote from the website of Professor Sauleh EetemadiOpens in a new tab from Iran University of Science and Technology: “After examining syllabus and course material from top universities including StanfordOpens in a new tab, PrincetonOpens in a new tab and MITOpens in a new tab we have chosen to follow the Data Structures and Algorithms SpecializationOpens in a new tab from UCSD...due to excellent course material and its practical approach.”If you decide to venture beyond Algorithms 101, try to solve more complex programming challenges (flows in networks, linear programming, streaming algorithms, etc.) and complete an equivalent of a graduate course in algorithms!","['Software Testing', 'Data Structure', 'Computer Programming', 'Algorithms', 'Debugging']","['Algorithmic Toolbox', 'Data Structures', 'Algorithms on Graphs', 'Algorithms on Strings', 'Advanced Algorithms and Complexity', 'Genome Assembly Programming Challenge']","['Alexander S. Kulikov', 'Neil Rhodes', 'Pavel  Pevzner', 'Michael Levin', 'Daniel M Kane']",['University of California San Diego'],Computer Science,https://www.coursera.org/specializations/data-structures-algorithms
Python for Everybody Specialization,4.8,Beginner level,2 months at 10 hours a week,Flexible schedule,"209,311 reviews",,"['Json', 'Xml', 'Python Programming', 'Database (DBMS)']","['Programming for Everybody (Getting Started with Python)', 'Python Data Structures', 'Using Python to Access Web Data', 'Using Databases with Python', 'Capstone: Retrieving, Processing, and Visualizing Data with Python']",['Charles Russell Severance'],['University of Michigan'],Computer Science,https://www.coursera.org/specializations/python
Introduction to Discrete Mathematics for Computer Science Specialization,4.5,Beginner level,3 months at 10 hours a week,Flexible schedule,"2,551 reviews",,"['Graph Theory', 'Number Theory', 'Cryptography', 'Probability']","['Mathematical Thinking in Computer Science', 'Combinatorics and Probability', 'Introduction to Graph Theory', 'Number Theory and Cryptography', 'Delivery Problem']","['Владимир Подольский', 'Michael Levin', 'Alexander S. Kulikov']",['University of California San Diego'],Computer Science,https://www.coursera.org/specializations/discrete-mathematics
Data Science Math Skills,4.5,Beginner level,Approx. 13 hours to complete,Flexible schedule,"11,576 reviews",,"[""Bayes' Theorem"", 'Bayesian Probability', 'Probability', 'Probability Theory']","['Welcome to Data Science Math Skills', 'Building Blocks for Problem Solving', 'Functions and Graphs', 'Measuring Rates of Change', 'Introduction to Probability Theory']","['Paul Bendich', 'Daniel Egger']",['Duke University'],Computer Science,https://www.coursera.org/learn/datasciencemathskills
Algorithms Specialization,4.8,Intermediate level,2 months at 10 hours a week,Flexible schedule,"5,529 reviews",,"['Algorithms', 'Dynamic Programming', 'Greedy Algorithm', 'Divide And Conquer Algorithms']","['Divide and Conquer, Sorting and Searching, and Randomized Algorithms', 'Graph Search, Shortest Paths, and Data Structures', 'Greedy Algorithms, Minimum Spanning Trees, and Dynamic Programming', 'Shortest Paths Revisited, NP-Complete Problems and What To Do About Them']",['Tim Roughgarden'],['Stanford University'],Computer Science,https://www.coursera.org/specializations/algorithms
Data Science Specialization,4.5,Beginner level,7 months at 10 hours a week,Flexible schedule,"38,691 reviews","Use R to clean, analyze, and visualize data.Navigate the entire data science pipeline from data acquisition to publication. Use GitHub to manage data science projects.Perform regression analysis, least squares and inference using regression models.","['Github', 'Machine Learning', 'R Programming', 'Regression Analysis']","['The Data Scientist’s Toolbox', 'R Programming', 'Getting and Cleaning Data', 'Exploratory Data Analysis', 'Reproducible Research', 'Statistical Inference', 'Regression Models', 'Practical Machine Learning', 'Developing Data Products', 'Data Science Capstone']","['Brian Caffo, PhD', 'Jeff Leek, PhD', 'Roger D. Peng, PhD']",['Johns Hopkins University'],Computer Science,https://www.coursera.org/specializations/jhu-data-science
How Computers Work,4.6,Beginner level,10 hours (approximately),Flexible schedule,532 reviews,,[],"['Abstraction', 'State, modularity and applications', 'Networks', 'How the web works']",['Prof Marco Gillies'],"['University of London', 'Goldsmiths, University of London']",Computer Science,https://www.coursera.org/learn/how-computers-work
Business Analytics with Excel: Elementary to Advanced,4.8,Intermediate level,Approx. 23 hours to complete,Flexible schedule,"1,454 reviews",,"['Modeling', 'Spreadsheet', 'Microsoft Excel', 'Business Analytics', 'Solver']","['Introduction to Excel: Basics and Best Practices', 'What-If Analysis in Excel', 'Decision Analysis through Regression and NPV', 'Linear Programming', 'Transportation and Assignment Problems', 'Integer Programming and Nonlinear Programming']","['Joseph W. Cutrone, PhD']",['Johns Hopkins University'],Computer Science,https://www.coursera.org/learn/business-analytics-excel
Java Programming and Software Engineering Fundamentals Specialization,4.6,Beginner level,6 months at 10 hours a week,Flexible schedule,"14,142 reviews",,"['Software Engineering', 'Data Structure', 'Computer Programming', 'Data Analysis', 'Algorithms', 'HTML', 'Debugging', 'JavaScript', 'Cascading Style Sheets (CSS)', 'Software Design', 'Java Programming', 'Object-Oriented Programming (OOP)']","['Programming Foundations with JavaScript, HTML and CSS', 'Java Programming: Solving Problems with Software', 'Java Programming: Arrays, Lists, and Structured Data', 'Java Programming: Principles of Software Design', 'Java Programming: Build a Recommendation System']","['Susan H. Rodger', 'Robert Duvall', 'Andrew D. Hilton', 'Owen Astrachan']",['Duke University'],Computer Science,https://www.coursera.org/specializations/java-programming
"Programming Languages, Part A",4.9,Intermediate level,Approx. 29 hours to complete,Flexible schedule,"1,801 reviews",,"['Recursion', 'Higher-Order Function', 'Pattern Matching', 'Functional Programming']","['Introduction and Course-Wide Information (Start Here)', 'Software Installation and Homework 0', 'Section 1 and Homework 1', 'Section 2 and Homework 2', 'Section 3 and Homework 3 -- and Course Motivation', 'Section 4 and Part-A Exam']",['Dan  Grossman'],['University of Washington'],Computer Science,https://www.coursera.org/learn/programming-languages
Mathematical Thinking in Computer Science,4.4,Beginner level,41 hours (approximately),Flexible schedule,"2,194 reviews",,"['Mathematical Induction', 'Proof Theory', 'Discrete Mathematics', 'Mathematical Logic']","['Making Convincing Arguments', 'How to Find an Example?', 'Recursion and Induction', 'Logic', 'Invariants', 'Solving a 15-Puzzle']","['Владимир Подольский', 'Michael Levin', 'Alexander S. Kulikov']",['University of California San Diego'],Computer Science,https://www.coursera.org/learn/what-is-a-proof
Foundations of Computer Science,4.6,Beginner level,15 hours (approximately),Flexible schedule,76 reviews,Develop computer programs that utilize classes and objects to solve business and mathematical problemsDevelop computer programs that utilize collections of variables to solve business and mathematical problemsModel Object Oriented Programs with UML class diagrams,"['Computer Programming', 'Debugging', 'computer science fundamentals', 'software modeling', 'Visual Basic (VB)']","['Specialization: Introduction to Computer Programming Visual Basic', 'Algorithms, History of Computing and Algorithm Efficiency', 'Computer Hardware and Organization', 'Computer Networks, Cloud Computing and Information Security ', 'Systems Software, Databases and Automation ']",['Aspen Olmsted'],['LearnQuest'],Computer Science,https://www.coursera.org/learn/computer-science-foundations
IBM DevOps and Software Engineering Professional Certificate,4.7,Beginner level,3 months at 10 hours a week,Flexible schedule,"2,846 reviews","Develop  a DevOps mindset, practice Agile philosophy & Scrum methodology -  essential to succeed in the era of Cloud Native Software EngineeringCreate applications using Python  language, using various programming constructs and logic, including functions, REST APIs, and  librariesBuild applications composed of microservices and deploy using containers (e.g. Docker, Kubernetes, and OpenShift) & serverless technologiesEmploy tools for automation, continuous integration (CI) and continuous deployment (CD) including Chef, Puppet, GitHub Actions, Tekton and  Travis. ","['Python Programming', 'Application development', 'Web Application', 'Flask', 'Artificial Intelligence (AI)', 'CI/CD', 'Microservices', 'Cloud Computing', 'Kubernetes', 'Devops', 'Software Testing', 'Test-Driven Development', 'Behavior-Driven Development', 'Test Case', 'Automated Testing', 'Kanban', 'Zenhub', 'Scrum Methodology', 'Agile Software Development', 'Sprint Planning', 'Representational State Transfer (REST)', 'Cloud Applications', 'Openshift', 'serverless', 'Docker', 'Containers', 'Cloud Native', 'agile', 'TDD/BDD', 'Observability', 'Telemetry', 'Monitoring', 'logging', 'Tracing', 'Distributed Version Control Systems (DVCS)', 'Git (Software)', 'Github', 'open source', 'Cloning and forking', 'Continuous Integration', 'Continuous Development', 'Infrastructure As Code', 'Automation', 'Hybrid Multicloud', 'Iaas PaaS Saas', 'Data Science', 'Data Analysis', 'Numpy', 'Pandas', 'Open Web Application Security Project (OWASP)', 'security', 'Shell Script', 'Bash (Unix Shell)', 'Extract Transform and Load (ETL)', 'Linux', 'Linux Commands']","['Introduction to DevOps', 'Introduction to Cloud Computing', 'Introduction to Agile Development and Scrum', 'Hands-on Introduction to Linux Commands and Shell Scripting', 'Getting Started with Git and GitHub', 'Python for Data Science, AI & Development', 'Developing AI Applications with Python and Flask', 'Introduction to Containers w/ Docker, Kubernetes & OpenShift', 'Application Development using Microservices and Serverless ', 'Introduction to Test and Behavior Driven Development', 'Continuous Integration and Continuous Delivery (CI/CD)', 'Application Security for Developers and DevOps Professionals', 'Monitoring and Observability for\xa0Development and DevOps', 'DevOps Capstone Project']","['Alex Parker', 'Abhishek Gagneja', 'Joseph Santarcangelo', 'Sam Prokopchuk', 'Rav Ahuja', 'Upkar Lidder', 'John Rofrano', 'Lavanya Thiruvali Sunderarajan', 'Ramesh Sannareddy', 'Ramanujam Srinivasan']",['IBM'],Computer Science,https://www.coursera.org/professional-certificates/devops-and-software-engineering
Introduction to Artificial Intelligence (AI),4.7,Beginner level,8 hours (approximately),Flexible schedule,"12,209 reviews","Describe what is AI, its applications, use cases, and how it is transforming our livesExplain terms like Machine Learning, Deep Learning and Neural Networks Describe several issues and ethical concerns surrounding AIArticulate advice from experts about learning and starting a career in AI ","['Artificial Intelligence (AI)', 'Data Science', 'Machine Learning', 'Deep Learning', 'Jobs']","['What is AI? Applications and Examples of AI', 'AI Concepts, Terminology, and Application Areas', 'AI: Issues, Concerns and Ethical Considerations', 'The Future with AI, and AI in Action']",['Rav Ahuja'],['IBM'],Computer Science,https://www.coursera.org/learn/introduction-to-ai
Google IT Automation with Python Professional Certificate,4.8,Beginner level,6 months at 10 hours a week,Flexible schedule,"35,825 reviews","Automate tasks by writing Python scriptsUse Git and GitHub for version controlManage IT resources at scale, both for physical machines and virtual machines in the cloud Analyze real-world IT problems and implement the appropriate strategies to solve those problems","['Configuration Management', 'Python Programming', 'Using Version Control', 'Troubleshooting & Debugging', 'Automation']","['Crash Course on Python', 'Using Python to Interact with the Operating System', 'Introduction to Git and GitHub', 'Troubleshooting and Debugging Techniques', 'Configuration Management and the Cloud', 'Automating Real-World Tasks with Python']",['Google Career Certificates'],['Google'],Computer Science,https://www.coursera.org/professional-certificates/google-it-automation
Mathematics for Computer Science,4.1,Beginner level,37 hours (approximately),Flexible schedule,216 reviews,"1.     Transform numbers between number bases and perform arithmetic in number bases 2. Identify, describe and compute sequences of numbers and their sums. 3. Represent and describe space numerically using coordinates and graphs.4. Study, represent and describe variations of quantities via functions and their graphs.",[],"['Number bases - binary', 'Number bases - other bases', 'Modular arithmetic', 'Sequences', 'Series', 'Introduction to Graph Sketching and Kinematics ']","['Dr Matthew Yee-King', 'Omar Karakchi']","['University of London', 'Goldsmiths, University of London']",Computer Science,https://www.coursera.org/learn/mathematics-for-computer-science
Introductory C Programming Specialization,4.6,Beginner level,5 months at 10 hours a week,Flexible schedule,"5,453 reviews",,"['Software Engineering', 'Computer Programming', 'Algorithms', 'Problem Solving', 'C Programming', 'Debugging', 'Software Development Process', 'Software Design']","['Programming Fundamentals', 'Writing, Running, and Fixing Code in C', 'Pointers, Arrays, and Recursion', 'Interacting with the System and Managing Memory']","['Anne Bracy', 'Genevieve M. Lipp', 'Andrew D. Hilton']",['Duke University'],Computer Science,https://www.coursera.org/specializations/c-programming
Machine Learning Specialization,4.9,Beginner level,2 months at 10 hours a week,Flexible schedule,"19,808 reviews","Build ML models with NumPy & scikit-learn, build & train supervised models for prediction & binary classification tasks (linear, logistic regression)Build & train a neural network with TensorFlow to perform multi-class classification, & build & use decision trees & tree ensemble methodsApply best practices for ML development & use unsupervised learning techniques for unsupervised learning including clustering & anomaly detectionBuild recommender systems with a collaborative filtering approach & a content-based deep learning method & build a deep reinforcement learning model","['Logistic Regression', 'Artificial Neural Network', 'Linear Regression', 'Decision Trees', 'Recommender Systems']","['Supervised Machine Learning: Regression and Classification ', 'Advanced Learning Algorithms', 'Unsupervised Learning, Recommenders, Reinforcement Learning']","['Geoff Ladwig', 'Aarti Bagul', 'Eddy Shyu', 'Andrew Ng']","['Stanford University', 'DeepLearning.AI']",Computer Science,https://www.coursera.org/specializations/machine-learning-introduction
Meta Back-End Developer Professional Certificate,4.7,Beginner level,8 months at 6 hours a week,Flexible schedule,"4,508 reviews","Gain the technical skills required to become a qualified back-end developerLearn to use programming systems including Python Syntax, Linux commands, Git, SQL, Version Control, Cloud Hosting, APIs, JSON, XML and moreBuild a portfolio using your new skills and begin interview preparation including tips for what to expect when interviewing for engineering jobsLearn in-demand programming skills and how to confidently use code to solve problems","['Django (Web Framework)', 'API endpoints', 'MySQL', 'HTML', 'Production environments', 'JavaScript', 'Cascading Style Sheets (CSS)', 'Version Control', 'Github', 'Bash (Unix Shell)', 'Web Development', 'Linux', 'Data Structure', 'Computer Science', 'Algorithms', 'Communication', 'Pseudocode', 'Filtering and ordering', 'Serializers and deserializers', 'Authentication and authorization', 'Debugging', 'REST APIs', 'Build a data model', 'Design a web application', 'Computer Programming', 'Python Programming', 'Application Programming Interfaces (API)', 'Cloud Hosting', 'database administration', 'Database (DBMS)']","['Introduction to Back-End Development', 'Programming in Python', 'Version Control', 'Introduction to Databases for Back-End Development', 'Django Web Framework ', 'APIs', 'The Full Stack', 'Back-End Developer Capstone ', 'Coding Interview Preparation']",['Taught by Meta Staff'],['Meta'],Computer Science,https://www.coursera.org/professional-certificates/meta-back-end-developer
Introduction to TCP/IP,4.6,Beginner level,Approx. 7 hours to complete,Flexible schedule,"2,580 reviews",,"['Network Protocols', 'Ip Address', 'Wireshark', 'Communications Protocol']","[""My PC's Internet & Gateway"", 'TCP/IP Protocol', 'Internet Routing & Functions', 'Internet Security', 'Wireshark Internet Project']",['Jong-Moon Chung'],['Yonsei University'],Computer Science,https://www.coursera.org/learn/tcpip
