Course Title,Rating,Level,Duration,Schedule,Review,What you will learn,Skill gain,Modules,Instructor,Offered By,Keyword,Course Url
IBM Cybersecurity Analyst Professional Certificate,4.6,Beginner level,4 months at 10 hours a week,Flexible schedule,"11,183 reviews",Develop knowledge of cybersecurity analyst tools including data protection; endpoint protection; SIEM; and systems and network fundamentals.   Learn about key compliance and threat intelligence topics important in today’s cybersecurity landscape. Gain skills for incident responses and forensics with real-world cybersecurity case studies.Get hands-on experience to develop skills via industry specific and open source Security tools.,"['information security analyst', 'Junior cybersecurity analyst', 'IT security analyst', 'security analyst']","['Introduction to Cybersecurity Tools & Cyber Attacks', 'Cybersecurity Roles, Processes & Operating System Security', 'Cybersecurity Compliance Framework & System Administration', 'Network Security & Database Vulnerabilities ', 'Penetration Testing, Incident Response and Forensics', 'Cyber Threat Intelligence', 'Cybersecurity Capstone:  Breach Response Case Studies', 'IBM Cybersecurity Analyst Assessment ']",['IBM Skills Network Team'],['IBM'],Information Technology,https://www.coursera.org/professional-certificates/ibm-cybersecurity-analyst
IBM Full Stack Software Developer Professional Certificate,4.5,Beginner level,4 months at 10 hours a week,Flexible schedule,"5,163 reviews","Master the most up-to-date practical skills and tools that full stack developers use in their daily rolesLearn how to deploy and scale applications using Cloud Native methodologies and tools such as Containers, Kubernetes, Microservices, and ServerlessDevelop software with front-end development languages and tools such as HTML, CSS, JavaScript, React, and BootstrapBuild your GitHub portfolio by applying your skills to multiple labs and hands-on projects, including a capstone","['Git (Software)', 'Cloud Applications', 'HTML', 'Cloud Computing', 'Distributed Version Control (DRCS)', 'open source', 'JavaScript', 'Hybrid Multicloud', 'Devops', 'Cascading Style Sheets (CSS)', 'Iaas PaaS Saas', 'Cloud Native']","['Introduction to Cloud Computing', 'Introduction to Web Development with HTML, CSS, JavaScript', 'Getting Started with Git and GitHub', 'Developing Front-End Apps with React', 'Developing Back-End Apps with Node.js and Express', 'Python for Data Science, AI & Development', 'Developing AI Applications with Python and Flask', 'Django Application Development with SQL and Databases', 'Introduction to Containers w/ Docker, Kubernetes & OpenShift', 'Application Development using Microservices and Serverless ', 'Full Stack Cloud Development Capstone Project', 'Full Stack Software Developer Assessment']","['Michelle Saltoun', 'Alex Parker', 'IBM Skills Network Team', 'Abhishek Gagneja', 'Yan Luo', 'Joseph Santarcangelo', 'Rav Ahuja', 'Upkar Lidder', 'Sachin Jambur', 'Lavanya Thiruvali Sunderarajan', 'Ramesh Sannareddy']",['IBM'],Information Technology,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer
Cybersecurity for Everyone,4.7,Beginner level,Approx. 21 hours to complete,Flexible schedule,"1,313 reviews",,[],"['Cybersecurity for Everyone:  Defining Cyber, Security, and Cybersecurity Policy (Week 1)', 'Cybersecurity for Everyone: Evolution of the Internet (Week 2)', 'Cybersecurity for Everyone: Global Telecommunications Architecture and Governance (Week 3)', 'Cybersecurity for Everyone: Threat Actors and Their Motivations (Week 4)', 'Cybersecurity for Everyone: The Hacking Process (Week 5)', 'Cybersecurity for Everyone: End Effects - Direct and Indirect Consequences (Week 6)']",['Charles Harry'],"['University of Maryland, College Park']",Information Technology,https://www.coursera.org/learn/cybersecurity-for-everyone
Introduction to Networking and Storage,4.7,Beginner level,12 hours (approximately),Flexible schedule,319 reviews,"Identify wired and wireless network types, explain physical and logical topology, differentiate network cable types and what each is used for. List common network devices. Discover what packets are and how IP addresses work, and explain what protocols are and why models are necessary.Determine how to set up and encrypt networks and mobile devices. Diagnose connectivity issues and utilize the command prompt and Windows Settings.List network drive types, explain RAM, ROM, and RAID, and troubleshoot storage issues. Explain STaaS, and define file, block, and object storage. ","['Wireless Networks', 'Network Troubleshooting', 'Network Architecture', 'Cloud Storage', 'Networking Hardware']","['Networking Fundamentals\u202f', 'Networking Fundamentals Part II', 'Configuring and Troubleshooting Networks', 'Storage Types and Network Sharing\u202f', 'Final Quiz and Assignment']",['IBM Skills Network Team'],['IBM'],Information Technology,https://www.coursera.org/learn/introduction-to-networking-and-storage
Cybersecurity Operations Fundamentals Specialization,4.8,Beginner level,3 months at 2 hours a week,Flexible schedule,166 reviews,"The concepts behind TCP/IP networking communicationThe basics of networking communication, common attack vectors, and malicious activitiesThe patterns of suspicious behaviors typically encountered when working in a Security Operations Center (SOC)","['Cybersecurity', 'Network Security', 'Information Security (INFOSEC)', 'Security Operations Center (SOC)', 'Cyber']","['Security Operations Center (SOC)', 'Endpoints and Systems', 'Network Security', 'Data Security', 'Threat Analysis', 'Threat Investigation', 'Threat Response']",['Cisco Learning & Certifications'],['Cisco Learning and Certifications'],Information Technology,https://www.coursera.org/specializations/cbrops
"Information Systems Auditing, Controls and Assurance",4.7,Beginner level,Approx. 8 hours to complete,Flexible schedule,"3,262 reviews",,"['Information Technology (IT) Management', 'Risk Management', 'Change Management', 'Information Security (INFOSEC)', 'Audit']","['Introduction to Information Systems (IS) Auditing', 'Perform IS auditing', 'Business Application Development and the Roles of IS Auditors', 'IS Maintenance and Control']",['Garvin Percy DIAS'],['The Hong Kong University of Science and Technology'],Information Technology,https://www.coursera.org/learn/information-systems-audit
Google IT Automation with Python Professional Certificate,4.8,Beginner level,6 months at 10 hours a week,Flexible schedule,"35,825 reviews","Automate tasks by writing Python scriptsUse Git and GitHub for version controlManage IT resources at scale, both for physical machines and virtual machines in the cloud Analyze real-world IT problems and implement the appropriate strategies to solve those problems","['Configuration Management', 'Python Programming', 'Using Version Control', 'Troubleshooting & Debugging', 'Automation']","['Crash Course on Python', 'Using Python to Interact with the Operating System', 'Introduction to Git and GitHub', 'Troubleshooting and Debugging Techniques', 'Configuration Management and the Cloud', 'Automating Real-World Tasks with Python']",['Google Career Certificates'],['Google'],Information Technology,https://www.coursera.org/professional-certificates/google-it-automation
Computer and Peripheral Hardware,4.6,Beginner level,Approx. 25 hours to complete,Flexible schedule,14 reviews,"Identify basic cable types and their connectors, features, and purposes.Explain and configure motherboards, central processing units (CPUs), and add-on cards.Demonstrate knowledge of several types of memory and their installation.",[],"['Module 1: Motherboards/Ports and Cables', 'Module 2: CPU and Power Supply', 'Module 3: Computer Storage', 'Summative Course Assessment ']",['Kevin Vaccaro'],['Illinois Tech'],Information Technology,https://www.coursera.org/learn/illinois-tech-computer-and-peripheral-hardware
New Technologies for Business Leaders,4.4,Intermediate level,Approx. 18 hours to complete,Flexible schedule,381 reviews,,[],"['INTRODUCTION TO DIGITAL TRANSFORMATION', 'AUGMENTED, VIRTUAL AND MIXED REALITY', 'INTERNET OF THINGS', 'ARTIFICIAL INTELLIGENCE AND BIG DATA', 'Blockchain technology applications and crypto currencies']","['Mark Mueller-Eberstein, Dipl. Kfm.']",['Rutgers the State University of New Jersey'],Information Technology,https://www.coursera.org/learn/new-technologies-business-leaders
Microsoft Cybersecurity Analyst Professional Certificate,4.8,Beginner level,6 months at 10 hours a week,Flexible schedule,804 reviews,"Understand the cybersecurity landscape and learn core concepts foundational to security, compliance, and identity solutions.Understand the vulnerabilities of an organizations network and mitigate attacks on network infrastructures to protect data.Develop and implement threat mitigation strategies by applying effective cybersecurity measures within an Azure environment.   Demonstrate your new skills with a capstone project and prepare for the industry-recognized Microsoft SC-900 Certification exam.   ","['Cloud Computing Security', 'Computer Security Incident Management', 'Network Security', 'Penetration Test', 'Threat mitigation']","['Introduction to Computers and Operating Systems and Security', 'Introduction to Networking and Cloud Computing', 'Cybersecurity Threat Vectors and Mitigation', 'Cybersecurity Identity and Access Solutions using Azure AD', 'Cybersecurity Solutions and Microsoft Defender', 'Cybersecurity Tools and Technologies', 'Cybersecurity Management and Compliance', 'Advanced Cybersecurity Concepts and Capstone Project', 'Microsoft SC-900 Exam Preparation and Practice']",[' Microsoft'],['Microsoft'],Information Technology,https://www.coursera.org/professional-certificates/microsoft-cybersecurity-analyst
MySQL with Information Technology,4.4,Beginner level,1.5 hours,,18 reviews,Recognize the role of MySQL in an information system.Describe the features of MySQL.Create and populate a MySQL database.,"['Mysql Workbench', 'Database (DBMS)', 'Relational Database', 'SQL', 'MySQL']",['Learn step-by-step'],['Judy Richardson'],['Coursera Project Network'],Information Technology,https://www.coursera.org/projects/mysql-information-technology
IBM Data Engineering Professional Certificate,4.6,Beginner level,5 months at 10 hours a week,Flexible schedule,"3,911 reviews","Master the most up-to-date practical skills and knowledge data engineers use in their daily rolesLearn to create, design, & manage relational databases & apply database administration (DBA) concepts to RDBMSs such as MySQL, PostgreSQL, & IBM Db2 Develop working knowledge of NoSQL & Big Data using MongoDB, Cassandra, Cloudant, Hadoop, Apache Spark, Spark SQL, Spark ML, and Spark Streaming Implement ETL & Data Pipelines with Bash, Airflow & Kafka; architect, populate, deploy Data Warehouses; create BI reports & interactive dashboards ","['Data Science', 'Data Analysis', 'Python Programming', 'ETL & Data Pipelines', 'NoSQL and Big Data', 'SQL', 'Apache Spark', 'Database (DBMS)', 'Relational Database Management Systems (RDBMS)']","['Introduction to Data Engineering', 'Python for Data Science, AI & Development', 'Python Project for Data Engineering', 'Introduction to Relational Databases (RDBMS)', 'Databases and SQL for Data Science with Python', 'Hands-on Introduction to Linux Commands and Shell Scripting', 'Relational Database Administration (DBA)', 'ETL and Data Pipelines with Shell, Airflow and Kafka', 'Getting Started with Data Warehousing and BI Analytics', 'Introduction to NoSQL Databases', 'Introduction to Big Data with Spark and Hadoop', 'Machine Learning with Apache Spark', 'Data Engineering Capstone Project']","['Sandip Saha Joy', 'Muhammad Yahya', 'Priya Kapoor', 'Jeff Grossman', 'Steve Ryan', 'IBM Skills Network Team', 'Abhishek Gagneja', 'Yan Luo', 'Hima Vasudevan', 'Joseph Santarcangelo', 'Romeo Kienzler', 'Rav Ahuja', 'Sam Prokopchuk', 'Aije Egwaikhide', 'Ramesh Sannareddy', 'Sabrina Spillner']",['IBM'],Information Technology,https://www.coursera.org/professional-certificates/ibm-data-engineer
Foundations of Software Testing and Validation,4.6,Beginner level,Approx. 5 hours to complete,Flexible schedule,101 reviews,"Describe various types of software testing and identify their advantages and disadvantages.Explain the significance of software testing in the software development process, recognising when and why testing should be employed.Apply knowledge of testing techniques to design effective test cases, evaluate their effectiveness, and generate comprehensive testing plans.Gain digital skills as part of Click Start! Follow the link in the instructor bio to see if you're eligible for FREE access to this course and more..","['Software Testing', 'Software Development', 'Validation']","['Week 1: Foundations of software testing and validation', 'Week 2: Test design techniques and validation ']","['Click Start', 'Julian Brooks']",['University of Leeds'],Information Technology,https://www.coursera.org/learn/foundations-of-software-testing-and-validation
IBM IT Project Manager Professional Certificate,4.8,Beginner level,4 months at 10 hours a week,Flexible schedule,375 reviews,"Master the most up-to-date practical skills and tools IT project managers use in their daily rolesLearn Agile concepts of adaptive planning, iterative development, and continuous improvement leading to early deliveries and high customer valueTrack and manage projects, including addressing difficult client situations and how activities shift throughout the project management lifecycleApply your new skills to real-world projects and hands-on labs","['Project Management', 'Scrum Master', 'Risk Management', 'Communication', 'Information Technology', 'Leadership', 'agile']","['Introduction to Project Management ', 'Project Management Foundations, Initiation, and Planning', 'Project Lifecycle, Information Sharing, and Risk Management', 'Project Management Communication, Stakeholders & Leadership ', 'Information Technology (IT) Fundamentals for Everyone', 'Introduction to Software Engineering', 'Introduction to Scrum Master Profession', 'Introduction to Agile Development and Scrum', 'Project Management Capstone']","['IBM Skills Network Team', 'Daniel C. Yeomans', 'Bethany Hudnutt', 'Rav Ahuja', 'Skill-Up EdTech Team', 'John Rofrano', 'Kasie Kyle']","['IBM', 'SkillUp EdTech']",Information Technology,https://www.coursera.org/professional-certificates/ibm-it-project-manager
Google Cloud Fundamentals: Core Infrastructure,4.7,Beginner level,5 hours (approximately),Flexible schedule,"47,588 reviews",Identify the purpose and value of Google Cloud products and services.Define how infrastructure is organized and controlled in Google CloudExplain how to create a basic infrastructure in Google CloudSelect and use Google Cloud storage options,"['Google Compute Engine', 'Google App Engine (GAE)', 'Google Cloud Platform', 'Cloud Computing']","['Course Introduction', 'Introducing Google Cloud', 'Resources and Access in the Cloud', 'Virtual Machines and Networks in the Cloud', 'Storage in the Cloud', 'Containers in the Cloud', 'Applications in the Cloud', 'Course Summary']",['Google Cloud Training'],['Google Cloud'],Information Technology,https://www.coursera.org/learn/gcp-fundamentals
JavaScript Security Specialization,4.5,Intermediate level,1 months at 10 hours a week,Flexible schedule,58 reviews,XSS and remote code execution. Regular expressions.CSRF and browser security. ,"['Secure Coding', 'Node.Js', 'JavaScript']","['JavaScript Security Refreshers', 'JavaScript Security Part 1', 'JavaScript Security Part 2', 'JavaScript Security Part 3']",['Vladimir de Turckheim'],['Infosec'],Information Technology,https://www.coursera.org/specializations/javascript-security
Akamai Network Engineering Professional Certificate,4.8,Beginner level,5 months at 8 hours a week,Flexible schedule,26 reviews,"Basic understanding of Linux and OS management using shell commands. Practical experience working with key networking technology.Learn network theory & implement networking tech like TCP/IP, DNS, DHCP, application layer protocols like HTTP(S), VLANs, routing, & wireless tech.Master basic SQL commands for database management and data analysis.Understand security management and create scripts to interact with users and process security events.","['Basics of Databases (SQL/NoSQL)', 'Linux/Unix System Administration', 'Troubleshooting Skills', 'Computer Network', 'Debugging techniques']","['Operating Systems Fundamentals', 'Networking Fundamentals', 'Managing Relational Databases', 'Python Scripting Fundamentals', 'Introduction to IT Security']",['Shadow Farrell'],"['Akamai Technologies, Inc.']",Information Technology,https://www.coursera.org/professional-certificates/akamai-network-engineering
Google شهادة تقنية المعلومات من Professional Certificate,4.8,Beginner level,6 months at 10 hours a week,Flexible schedule,402 reviews,●	اكتساب المهارات اللازمة للنجاح في مجال تكنولوجيا المعلومات على مستوى المبتدئين●	تعلم كيفية أداء مهام دعم تكنولوجيا المعلومات اليومية بما في ذلك تجميع الكمبيوتر والشبكات اللاسلكية وتثبيت البرامج وخدمة العملاء●	التعرّف على كيفية توفير دعم شامل للعملاء، بدءًا من تحديد المشكلات إلى استكشاف الأخطاء وإصلاحها وكذلك تصحيح الأخطاء●	تعلم كيفية استخدام الأنظمة بما في ذلك Linux وأنظمة أسماء المجالات وواجهة سطر الأوامر والرمز الثنائي,"['File Shortcut', 'Privacy', 'Operating Systems', 'Troubleshooting', 'Directory Service', 'Email', 'Provisioning', 'Network Service', 'Subnetwork', 'Network Layer', 'Virtual Private Network (VPN)', 'Switches', 'Malware', 'Cryptography', 'Disk Encryption', 'Reverse Proxy', 'Systems Monitoring', 'Interfaces', 'Process State']","['أساسيات الدعم الفني', 'أساسيات شبكات الكمبيوتر', 'أنت وأنظمة التشغيل: كيف تصبح مستخدمًا محترفًا', 'إدارة النظم وخدمات البنية التحتية لتكنولوجيا المعلومات', 'أمان تكنولوجيا المعلومات: الحماية من الهجمات الرقمية']",['Google Career Certificates'],['Google'],Information Technology,https://www.coursera.org/professional-certificates/google-it-arabic
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",4.8,Beginner level,Approx. 17 hours to complete,Flexible schedule,"5,627 reviews",,"['Microsoft PowerPoint', 'Microsoft Excel', 'Microsoft Word']","['PRESENTACIÓN', 'PROCESAMIENTO DE TEXTOS: MICROSOFT WORD (I)', 'PROCESAMIENTO DE TEXTOS: MICROSOFT WORD (II)', 'HOJA DE CÁLCULO: MICROSOFT EXCEL (I)', 'HOJA DE CÁLCULO: MICROSOFT EXCEL (II)', 'PRESENTACIONES: MICROSOFT POWERPOINT']",['Miquel Mazuque Periz'],['Universitat Autònoma de Barcelona'],Information Technology,https://www.coursera.org/learn/competencias-digitales-ofimatica
Introduction to Hardware and Operating Systems,4.8,Beginner level,17 hours (approximately),Flexible schedule,948 reviews,"Demonstrate an understanding of operating system fundamentals. Recognize desktop and laptop hardware components and devices.Identify and describe internal desktop and laptop computer components, interfaces, and peripherals. Explain basic workstation setup, locate operating system settings, and identify good troubleshooting practices.","['Technical Support', 'Operating Systems', 'Troubleshooting', 'hardware', 'IT Fundamentals']","['\u202fIntroduction to Computing Fundamentals', 'Computing Devices and Peripherals', 'Interfaces and Connectors', 'Internal Computer Components', 'Windows Workstation Setup, Evaluation, and Troubleshooting', 'Final Quiz and Assignment', 'Bonus Module - Exploring Additional Desktop and Mobile Operating Systems']",['IBM Skills Network Team'],['IBM'],Information Technology,https://www.coursera.org/learn/introduction-to-hardware-and-operating-systems
Microsoft Power BI Data Analyst Professional Certificate,4.6,Beginner level,5 months at 10 hours a week,Flexible schedule,"1,657 reviews",Learn to use Power BI to connect to data sources and transform them into meaningful insights.  Prepare Excel data for analysis in Power BI using the most common formulas and functions in a worksheet.     Learn to use the visualization and report capabilities of Power BI to create compelling reports and dashboards.  Demonstrate your new skills with a capstone project and prepare for the industry-recognized Microsoft PL-300 Certification exam.   ,"['Data Analysis', 'Microsoft Excel', 'SQL', 'power bi', 'Power Query']","['Preparing  Data for Analysis with Microsoft Excel', 'Harnessing the Power of Data with Power BI', 'Extract, Transform and Load Data in Power BI', 'Data Modeling in Power BI', 'Data Analysis and Visualization with Power BI', 'Creative Designing in Power BI ', 'Deploy and Maintain Power BI Assets and Capstone project', 'Microsoft PL-300 Exam Preparation and Practice']",[' Microsoft'],['Microsoft'],Information Technology,https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst
Introduction to Cybersecurity Essentials,4.8,Beginner level,12 hours (approximately),Flexible schedule,418 reviews,"Recognize the importance of data security, maintaining data integrity, and confidentialityDemonstrate the installation of software updates and patchesIdentify preferred practices for authentication, encryption, and device securityDiscuss types of security threats, breaches, malware, social engineering, and other attack vectors","['Cybersecurity', 'Cryptography', 'Cyberattacks', 'Information Security (INFOSEC)', 'Application Security']","['Common Security Threats and Risks', 'Security Best Practices\u202f', 'Safe Browsing Practices', 'Final Quiz']",['IBM Skills Network Team'],['IBM'],Information Technology,https://www.coursera.org/learn/introduction-to-cybersecurity-essentials
 IT Security: Defense against the digital dark arts ,4.8,Beginner level,32 hours (approximately),Flexible schedule,"21,408 reviews",,"['Cybersecurity', 'Wireless Security', 'Cryptography', 'Network Security']","['Understanding Security Threats', 'Pelcgbybtl (Cryptology)', ""The 3 A's of Cybersecurity: Authentication, Authorization, Accounting"", 'Securing Your Networks', 'Defense in Depth', 'Creating a Company Culture for Security', 'Prepare for Jobs in IT Support']",['Google Career Certificates'],['Google'],Information Technology,https://www.coursera.org/learn/it-security
Health Information Technology Fundamentals,4.8,,6 hours (approximately),Flexible schedule,317 reviews,,[],"['Introduction to Electronic Health Records', 'EHR Applications and Features', 'Clinical Decision Support and Databases', 'Training, Communication, and Change Management']","['Ashwini S. Davison, M.D.', 'Ebony Williams']",['Johns Hopkins University'],Information Technology,https://www.coursera.org/learn/health-it-fundamentals
Healthcare Data Management and Information Systems,,Beginner level,Approx. 16 hours to complete,Flexible schedule,,Identify the impact of data analytics AI and ML on healthcare outcomesIdentify current issues related to digital security and privacyEvaluate healthcare spending to determine return on investmentIdentify emerging trends and developments in the field of healthcare informatics,"['Health Informatics', 'Data Security', 'Data Management', 'Digital transformation']","['Cybersecurity & Patient Privacy', 'Assessing IT Effectiveness & Spending', 'Emerging Technologies & Challenges', 'The Future of Health IT: Digital Transformation']","['Dr. John D. Halamka, M.D., M.S.']",['Northeastern University '],Information Technology,https://www.coursera.org/learn/healthcare-data-management-and-information-systems
Introduction to Networks and Cisco Devices,4.5,Advanced level,2 hours,,339 reviews," Identifying different components of computer networks such as end devices and connecting them together. Managing Cisco devices by using the Packet Tracer to simulate telnet, SSH, and Console connection.     Securing access to Cisco devices by implementing line passwords and password encryption services.  ","['cisco devices', 'Information Technology', 'Computer Networks', 'ccna']",['Learn step-by-step'],['Mohammed Al M.'],['Coursera Project Network'],Information Technology,https://www.coursera.org/projects/ccna-introduction-networks-cisco-devices
Introduction to AI in the Data Center,4.7,Beginner level,Approx. 5 hours to complete,Flexible schedule,44 reviews,"What is AI and AI use cases, Machine Learning, Deep Leaning, and how training and inference happen in a Deep Learning Workflow.The history and architecture of GPUs,  how they differ from CPUs, and how they are revolutionizing AI.    Become familiar with deep learning frameworks, AI software stack, and considerations when deploying AI workloads on a data center on prem or cloud.Requirements for multi-system AI clusters and considerations for infrustructure planning, including servers, networking, storage and tools. ","['Artificial Intelligence (AI)', 'Machine Learning']","['Introduction to GPU Computing  |  NVIDIA Training', 'Rack Level Considerations | NVIDIA Training', 'Data Center Level Considerations | NVIDIA Training', 'Course Completion Quiz - Introduction to AI in the Data Center ']",['NVIDIA Training '],['NVIDIA'],Information Technology,https://www.coursera.org/learn/introduction-to-ai-in-the-data-center
