Course Title,Rating,Level,Duration,Schedule,Review,What you will learn,Skill gain,Modules,Instructor,Offered By,Keyword,Course Url
SQL for Data Science,4.6,Beginner level,18 hours (approximately),Flexible schedule,"15,877 reviews","Identify a subset of data needed from a column or set of columns and write a SQL query to limit to those results.Use SQL commands to filter, sort, and summarize data.Create an analysis table from multiple queries using the UNION operator.Manipulate strings, dates, & numeric data using functions to integrate data from different sources into fields with the correct format for analysis.","['Data Science', 'Data Analysis', 'Sqlite', 'SQL']","['Getting Started and Selecting & Retrieving Data with SQL', 'Filtering, Sorting, and Calculating Data with SQL', 'Subqueries and Joins in SQL', 'Modifying and Analyzing Data with SQL']",['Sadie St. Lawrence'],"['University of California, Davis']",DataScience,https://www.coursera.org/learn/sql-for-data-science
Mathematics for Machine Learning and Data Science Specialization,4.6,Beginner level,3 months at 5 hours a week,Flexible schedule,"1,449 reviews","A deep understanding of the math that makes machine learning algorithms work.Statistical techniques that empower you to get more out of your data analysis.Fundamental skills that employers desire, helping you ace machine learning interview questions and land your dream job.","['Bayesian Statistics', 'Mathematics', 'Linear Regression', 'Machine Learning', 'Probability']","['Linear Algebra for Machine Learning and Data Science', 'Calculus for Machine Learning and Data Science', 'Probability & Statistics for Machine Learning & Data Science']","['Magdalena Bouza', 'Elena Sanina', 'Luis Serrano', 'Anshuman Singh']",['DeepLearning.AI'],DataScience,https://www.coursera.org/specializations/mathematics-for-machine-learning-and-data-science
Python Project for Data Science,4.5,Intermediate level,8 hours (approximately),Flexible schedule,"3,837 reviews","Play the role of a Data Scientist / Data Analyst working on a real project.Demonstrate your Skills in Python - the language of choice for Data Science and Data Analysis. Apply Python fundamentals, Python data structures, and working with data in Python.Build a dashboard using Python and libraries like Pandas, Beautiful Soup and Plotly using Jupyter notebook.","['Data Science', 'Data Analysis', 'Python Programming', 'Pandas', 'Jupyter notebooks']",[' Crowdsourcing Short squeeze Dashboard '],"['Joseph Santarcangelo', 'Azim Hirjani']",['IBM'],DataScience,https://www.coursera.org/learn/python-project-for-data-science
Data Science Fundamentals with Python and SQL Specialization,4.6,Beginner level,2 months at 10 hours a week,Flexible schedule,"2,603 reviews","Working knowledge of Data Science Tools such as Jupyter Notebooks, R Studio, GitHub, Watson StudioPython programming basics including data structures, logic, working with files, invoking APIs, and libraries such as Pandas and NumpyStatistical Analysis techniques including  Descriptive Statistics, Data Visualization, Probability Distribution, Hypothesis Testing and RegressionRelational Database fundamentals including SQL query language, Select statements, sorting & filtering, database functions, accessing multiple tables","['Probability And Statistics', 'Basic Descriptive Statistics', 'Statistical Hypothesis Testing', 'Data Visualization', 'Regression Analysis', 'Data Science', 'Data Analysis', 'Python Programming', 'Numpy', 'Pandas', 'Jupyter notebooks', 'Cloud Databases', 'Relational Database Management System (RDBMS)', 'SQL', 'Github', 'Rstudio']","['Tools for Data Science', 'Python for Data Science, AI & Development', 'Python Project for Data Science', 'Statistics for Data Science with Python', 'Databases and SQL for Data Science with Python']","['Svetlana Levitan', 'Murtaza Haider', 'Hima Vasudevan', 'Joseph Santarcangelo', 'Romeo Kienzler', 'Rav Ahuja', 'Aije Egwaikhide', 'Azim Hirjani']",['IBM'],DataScience,https://www.coursera.org/specializations/data-science-fundamentals-python-sql
Genomic Data Science Specialization,4.4,Intermediate level,1 months at 10 hours a week,Flexible schedule,"5,396 reviews","Next generation sequencing experimentsGenomic technologiesDNA, RNA and epigenetic patternsGenome analysis","['Bioinformatics Algorithms', 'Algorithms', 'Python Programming', 'Algorithms On Strings', 'Bioinformatics', 'Biopython', 'Genomics', 'Statistics', 'Data Science', 'Computational Biology', 'Samtools', 'Command-Line Interface', 'Unix', 'Data Analysis', 'R Programming', 'Biostatistics', 'Bioconductor']","['Introduction to Genomic Technologies', 'Python for Genomic Data Science', 'Algorithms for DNA Sequencing', 'Command Line Tools for Genomic Data Science', 'Bioconductor for Genomic Data Science', 'Statistics for Genomic Data Science']","['Kasper Daniel Hansen, PhD', 'Ben Langmead, PhD', 'Jeff Leek, PhD', 'Liliana Florea, PhD', 'Mihaela Pertea, PhD', 'Jacob Pritt', 'Steven Salzberg, PhD']",['Johns Hopkins University'],DataScience,https://www.coursera.org/specializations/genomic-data-science
Databases and SQL for Data Science with Python,4.6,Beginner level,20 hours (approximately),Flexible schedule,"18,958 reviews","Analyze data within a database using SQL and Python.Create a relational database and work with multiple tables using DDL commands. Construct basic to intermediate level SQL queries using DML commands. Compose more powerful queries with advanced SQL techniques like views, transactions, stored procedures, and joins. ","['Python Programming', 'Cloud Databases', 'Relational Database Management System (RDBMS)', 'SQL', 'Jupyter notebooks']","['Getting Started with SQL', 'Introduction to Relational Databases and Tables', 'Intermediate SQL', 'Accessing Databases using Python', 'Course Assignment', 'Bonus Module: Advanced SQL for Data Engineer (Honors)']","['Hima Vasudevan', 'Rav Ahuja']",['IBM'],DataScience,https://www.coursera.org/learn/sql-data-science
Machine Learning Specialization,4.9,Beginner level,2 months at 10 hours a week,Flexible schedule,"19,808 reviews","Build ML models with NumPy & scikit-learn, build & train supervised models for prediction & binary classification tasks (linear, logistic regression)Build & train a neural network with TensorFlow to perform multi-class classification, & build & use decision trees & tree ensemble methodsApply best practices for ML development & use unsupervised learning techniques for unsupervised learning including clustering & anomaly detectionBuild recommender systems with a collaborative filtering approach & a content-based deep learning method & build a deep reinforcement learning model","['Logistic Regression', 'Artificial Neural Network', 'Linear Regression', 'Decision Trees', 'Recommender Systems']","['Supervised Machine Learning: Regression and Classification ', 'Advanced Learning Algorithms', 'Unsupervised Learning, Recommenders, Reinforcement Learning']","['Geoff Ladwig', 'Aarti Bagul', 'Eddy Shyu', 'Andrew Ng']","['Stanford University', 'DeepLearning.AI']",DataScience,https://www.coursera.org/specializations/machine-learning-introduction
IBM Data Engineering Professional Certificate,4.6,Beginner level,5 months at 10 hours a week,Flexible schedule,"3,911 reviews","Master the most up-to-date practical skills and knowledge data engineers use in their daily rolesLearn to create, design, & manage relational databases & apply database administration (DBA) concepts to RDBMSs such as MySQL, PostgreSQL, & IBM Db2 Develop working knowledge of NoSQL & Big Data using MongoDB, Cassandra, Cloudant, Hadoop, Apache Spark, Spark SQL, Spark ML, and Spark Streaming Implement ETL & Data Pipelines with Bash, Airflow & Kafka; architect, populate, deploy Data Warehouses; create BI reports & interactive dashboards ","['Data Science', 'Data Analysis', 'Python Programming', 'ETL & Data Pipelines', 'NoSQL and Big Data', 'SQL', 'Apache Spark', 'Database (DBMS)', 'Relational Database Management Systems (RDBMS)']","['Introduction to Data Engineering', 'Python for Data Science, AI & Development', 'Python Project for Data Engineering', 'Introduction to Relational Databases (RDBMS)', 'Databases and SQL for Data Science with Python', 'Hands-on Introduction to Linux Commands and Shell Scripting', 'Relational Database Administration (DBA)', 'ETL and Data Pipelines with Shell, Airflow and Kafka', 'Getting Started with Data Warehousing and BI Analytics', 'Introduction to NoSQL Databases', 'Introduction to Big Data with Spark and Hadoop', 'Machine Learning with Apache Spark', 'Data Engineering Capstone Project']","['Sandip Saha Joy', 'Muhammad Yahya', 'Priya Kapoor', 'Jeff Grossman', 'Steve Ryan', 'IBM Skills Network Team', 'Abhishek Gagneja', 'Yan Luo', 'Hima Vasudevan', 'Joseph Santarcangelo', 'Romeo Kienzler', 'Rav Ahuja', 'Sam Prokopchuk', 'Aije Egwaikhide', 'Ramesh Sannareddy', 'Sabrina Spillner']",['IBM'],DataScience,https://www.coursera.org/professional-certificates/ibm-data-engineer
Tools for Data Science,4.5,Beginner level,18 hours (approximately),Flexible schedule,"27,993 reviews","Describe the Data Scientist’s tool kit which includes: Libraries & Packages, Data sets, Machine learning models, and Big Data tools   Utilize languages commonly used by data scientists like Python, R, and SQL   Demonstrate working knowledge of tools such as Jupyter notebooks and RStudio and utilize their various features    Create and manage source code for data science using Git repositories and GitHub.   ","['Data Science', 'Python Programming', 'Github', 'Rstudio', 'Jupyter notebooks']","['Overview of Data Science Tools', 'Languages of Data Science', 'Packages, APIs, Datasets and Models', ' Jupyter Notebooks and JupyterLab ', 'RStudio & GitHub', 'Create and Share your Jupyter Notebook', '[Optional] IBM Watson Studio']","['Aije Egwaikhide', 'Svetlana Levitan', 'Romeo Kienzler']",['IBM'],DataScience,https://www.coursera.org/learn/open-source-tools-for-data-science
Data Analysis with Python,4.7,Beginner level,15 hours (approximately),Flexible schedule,"17,564 reviews","Develop Python code for cleaning and preparing data for analysis - including handling missing values, formatting, normalizing, and binning dataPerform exploratory data analysis and apply analytical techniques to real-word datasets using libraries such as Pandas, Numpy and ScipyManipulate data using dataframes, summarize data, understand data distribution, perform correlation and create data pipelinesBuild and evaluate regression models using machine learning scikit-learn library and use them for prediction and decision making","['Model Selection', 'Data Analysis', 'Python Programming', 'Data Visualization', 'Predictive Modelling']","['Importing Data Sets', 'Data Wrangling', ' Exploratory Data Analysis', 'Model Development', 'Model Evaluation and Refinement', 'Final Assignment']",['Joseph Santarcangelo'],['IBM'],DataScience,https://www.coursera.org/learn/data-analysis-with-python
Microsoft Power BI Data Analyst Professional Certificate,4.6,Beginner level,5 months at 10 hours a week,Flexible schedule,"1,657 reviews",Learn to use Power BI to connect to data sources and transform them into meaningful insights.  Prepare Excel data for analysis in Power BI using the most common formulas and functions in a worksheet.     Learn to use the visualization and report capabilities of Power BI to create compelling reports and dashboards.  Demonstrate your new skills with a capstone project and prepare for the industry-recognized Microsoft PL-300 Certification exam.   ,"['Data Analysis', 'Microsoft Excel', 'SQL', 'power bi', 'Power Query']","['Preparing  Data for Analysis with Microsoft Excel', 'Harnessing the Power of Data with Power BI', 'Extract, Transform and Load Data in Power BI', 'Data Modeling in Power BI', 'Data Analysis and Visualization with Power BI', 'Creative Designing in Power BI ', 'Deploy and Maintain Power BI Assets and Capstone project', 'Microsoft PL-300 Exam Preparation and Practice']",[' Microsoft'],['Microsoft'],DataScience,https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst
Introduction to Statistics,4.6,Beginner level,Approx. 14 hours to complete,Flexible schedule,"2,770 reviews",,[],"['Introduction and Descriptive Statistics for Exploring Data', 'Producing Data and Sampling', 'Probability', 'Normal Approximation and Binomial Distribution', 'Sampling Distributions and the Central Limit Theorem', 'Regression', 'Confidence Intervals', 'Tests of Significance', 'Resampling', 'Analysis of Categorical Data', 'One-Way Analysis of Variance (ANOVA)', 'Multiple Comparisons']",['Guenther Walther'],['Stanford University'],DataScience,https://www.coursera.org/learn/stanford-statistics
Applied Data Science Capstone,4.7,Intermediate level,13 hours (approximately),Flexible schedule,"6,923 reviews","Demonstrate proficiency in data science and machine learning techniques using a real-world data set and prepare a report for stakeholders   Apply your skills to perform data collection, data wrangling, exploratory data analysis, data visualization model development, and model evaluationWrite Python code to create machine learning models including support vector machines, decision tree classifiers, and k-nearest neighbors  Evaluate the results of machine learning models for predictive analysis, compare their strengths and weaknesses and identify the optimal model   ","['Github', 'Jupyter Notebook', 'K-Means Clustering', 'Methodology', 'Data Science Methodology']","['Introduction', 'Exploratory Data Analysis (EDA)', 'Interactive Visual Analytics and Dashboard', 'Predictive Analysis (Classification)', 'Present Your Data-Driven Insights']","['Yan Luo', 'Joseph Santarcangelo']",['IBM'],DataScience,https://www.coursera.org/learn/applied-data-science-capstone
Learn SQL Basics for Data Science Specialization,4.5,Beginner level,2 months at 10 hours a week,Flexible schedule,"9,782 reviews","Use SQL commands to filter, sort, & summarize data; manipulate strings, dates, & numerical data from different sources for analysisAssess and create datasets to solve your business questions and problems using SQLUse the collaborative Databricks workspace and create an end-to-end pipeline that reads data, transforms it, and saves the resultDevelop a project proposal & select your data, perform statistical analysis & develop metrics, and present your findings & make recommendations","['Data Analysis', 'SQL', 'Apache Spark', 'Delta Lake']","['SQL for Data Science', 'Data Wrangling, Analysis and AB Testing with SQL', 'Distributed Computing with Spark SQL', 'SQL for Data Science Capstone Project']","['Don Noxon', 'Sadie St. Lawrence', 'Conor Murphy', 'Katrina Glaeser Poole', 'Brooke Wenig']","['University of California, Davis']",DataScience,https://www.coursera.org/specializations/learn-sql-basics-data-science
Data Science at Scale Specialization,4.1,Intermediate level,1 months at 10 hours a week,Flexible schedule,539 reviews,,"['Python Programming', 'SQL', 'R Programming', 'Mapreduce']","['Data Manipulation at Scale: Systems and Algorithms', 'Practical Predictive Analytics: Models and Methods', 'Communicating Data Science Results', 'Data Science at Scale - Capstone Project']",['Bill Howe'],['University of Washington'],DataScience,https://www.coursera.org/specializations/data-science
Fractal Data Science  Professional Certificate,4.4,Beginner level,5 months at 10 hours a week,Flexible schedule,45 reviews," Apply structured problem-solving techniques to dissect and address complex data-related challenges encountered in real-world scenarios.   Utilize SQL proficiency to retrieve, manipulate data and employ data visualization skills using Power BI to communicate insights.Apply Python expertise for data manipulation, analysis and implement machine learning algorithms to create predictive models for applications.Create compelling data stories to influence your audience and master the art of critically analyzing data while making decisions and recommendations.","['Decision-Making', 'Python Programming', 'Problem Solving', 'Machine Learning', 'Data storytelling', 'SQL', 'power bi']","['Structured Approach to Problem Solving', 'Data Analysis Using SQL', 'Insights of Power BI', 'Python for Data Science', 'Human Decision Making and its Biases', 'Foundations of Machine Learning ', 'Advanced Machine Learning Algorithms', 'Data Storytelling']","['Analytics Vidhya', 'Fractal Analytics ']",['Fractal Analytics'],DataScience,https://www.coursera.org/professional-certificates/fractal-data-science
Data Science Ethics,4.7,Beginner level,Approx. 14 hours to complete,Flexible schedule,858 reviews,"Examine the ethical and privacy implications of collecting and managing big data.Explore the broader impact of the data science field on modern society.Understand who owns data, how we value privacy, how to receive informed consent and what it means to be fair.","['Probabilty and Statistics', 'Data Analysis', 'Data Ethics']","['What are Ethics?', 'History, Concept of Informed Consent', 'Data Ownership', 'Privacy', 'Anonymity', 'Data Validity', 'Algorithmic Fairness', 'Societal Consequences', 'Code of Ethics', 'Attributions']",['H.V. Jagadish'],['University of Michigan'],DataScience,https://www.coursera.org/learn/data-science-ethics
Data Science: Foundations using R Specialization,4.6,Beginner level,4 months at 10 hours a week,Flexible schedule,"5,973 reviews","Use R to clean, analyze, and visualize data.Learn how to ask the right questions, obtain data, and perform reproducible research.Use GitHub to manage data science projects.","['Data Science', 'Github', 'Machine Learning', 'R Programming', 'Exploratory Data Analysis']","['The Data Scientist’s Toolbox', 'R Programming', 'Getting and Cleaning Data', 'Exploratory Data Analysis', 'Reproducible Research']","['Brian Caffo, PhD', 'Jeff Leek, PhD', 'Roger D. Peng, PhD']",['Johns Hopkins University'],DataScience,https://www.coursera.org/specializations/data-science-foundations-r
