Course Title,Rating,Level,Duration,Schedule,Review,What you will learn,Skill gain,Modules,Instructor,Offered By,Keyword,Course Url
From Climate Science to Action,4.7,Beginner level,Approx. 15 hours to complete,Flexible schedule,398 reviews,,[],"['Climate Change in the 21st Century ', 'Sectoral and Regional Impacts', 'From Science to Action on Climate Change', 'What You Can Do']","['Claudia Barrera', 'Alan S. Miller ']",['The World Bank Group'],Social Sciences,https://www.coursera.org/learn/climate-science
Dénommer le monde : la politique des toponymes,,Intermediate level,Approx. 22 hours to complete,Flexible schedule,,"La création toponymique en situations complexes :  multilingue, commémorative coloniale et postcoloniale, frontalières et bien d'autres.  Les pratiques d'attribution d'adresses et les principaux défis contemporains dans les zones rurales du Nord et les zones urbaines du Sud.","['Analyse paysagère', 'Toponymie politique', 'Adressage', 'Renomination', 'Dénomination']","['La dénomination des lieux comme processus', 'Pluralité des langues et toponymie politique', 'Dominations et toponymie: postcolonialité et genre', 'Toponymie d’émergence et marchandisation des noms', 'Toponymies de frontières', 'Adressage et questions cartographiques']",['Frédéric Giraut'],['University of Geneva'],Social Sciences,https://www.coursera.org/learn/denommer-le-monde
Politics and Economics of International Energy,4.7,Beginner level,Approx. 29 hours to complete,Flexible schedule,"1,724 reviews",,[],"[' Week #1 : Introduction to global energy trends and scenarios', 'Week #2 : Policies for decarbonisation', 'Week #3 : Renewable energy sources', 'Week #4 : Oil production, reserves and ressources', 'Week #5 : The economics and geopolitics of natural gas', 'Week #6 : Nuclear Energy', 'Week #7 : Security of supply and demand', 'Week #8 : Energy and development']",['Giacomo Luciani'],['Sciences Po'],Social Sciences,https://www.coursera.org/learn/global-energy
The Arts and Science of Relationships: Understanding Human Needs,4.5,Beginner level,Approx. 31 hours to complete,Flexible schedule,"1,635 reviews",,"['Psychology', 'Assertiveness', 'Communication', 'Building Relationships']","['Module 1 - Relationships in Our Lives', 'Module 2 - Getting Started', 'Module 3 - Communication', 'Module 4 - Building Relationships that Work for You', 'Module 5 - Challenges, Endings, and Transformation', 'Module 6 - Relationships & Self']",['A. Ka Tat Tsang'],['University of Toronto'],Social Sciences,https://www.coursera.org/learn/human-needs
Data Science Specialization,4.5,Beginner level,7 months at 10 hours a week,Flexible schedule,"38,691 reviews","Use R to clean, analyze, and visualize data.Navigate the entire data science pipeline from data acquisition to publication. Use GitHub to manage data science projects.Perform regression analysis, least squares and inference using regression models.","['Github', 'Machine Learning', 'R Programming', 'Regression Analysis']","['The Data Scientist’s Toolbox', 'R Programming', 'Getting and Cleaning Data', 'Exploratory Data Analysis', 'Reproducible Research', 'Statistical Inference', 'Regression Models', 'Practical Machine Learning', 'Developing Data Products', 'Data Science Capstone']","['Roger D. Peng, PhD', 'Jeff Leek, PhD', 'Brian Caffo, PhD']",['Johns Hopkins University'],Social Sciences,https://www.coursera.org/specializations/jhu-data-science
The Science of Well-Being,4.9,,Approx. 19 hours to complete,Flexible schedule,"37,113 reviews",,"['Gratitude', 'Happiness', 'Meditation', 'Savoring']","['Introduction', 'Misconceptions About Happiness', 'Why Our Expectations are so Bad', 'How Can We Overcome Our Biases', 'Stuff that Really Makes Us Happy', 'Putting Strategies into Practice', 'Start Your Final Rewirement Challenge', 'Continue Your Rewirement Challenge', 'Continue Your Rewirement Challenge', 'Submit Your Final Assignment']",['Laurie Santos'],['Yale University'],Social Sciences,https://www.coursera.org/learn/the-science-of-well-being
Using Public Policy for Social Change,4.9,Beginner level,Approx. 14 hours to complete,Flexible schedule,14 reviews,Learn to identify and define each step of the public policy-making cycleHow to analyze social issues from a policy perspectiveLearn how advocacy work plays a part in policy-making,"['Policy Analysis', 'Problem Solving', 'Policy Design', 'Policy Advocacy', 'Social Issues']","['Week 1: What is Public Policy and What is it Good For?', 'Week 2: Issue Framing and Agenda Setting', 'Week 3: Public Policy Design—What Should We Do?', 'Week 4: Policy Implementation and Evaluation – Did it Work?']",['Paula Lantz'],['University of Michigan'],Social Sciences,https://www.coursera.org/learn/using-public-policy-for-social-change
Understanding child development: from synapse to society,4.6,Beginner level,Approx. 28 hours to complete,Flexible schedule,275 reviews,,[],"['Introduction to Dynamics of Youth', 'Brain and motor development', 'Cognitive development', 'Communication', 'Social-emotional development', 'The big picture']",['dr. Jorg Huijding'],['Utrecht University'],Social Sciences,https://www.coursera.org/learn/child-development
Engage your niche on social media: visual stories with Canva,4.0,Beginner level,1 hour,,26 reviews,create 2 different templates for social media storiesengage your niche through 2 different types of contentsuse Canva to create graphic contents for social media,"['Social Media Management', 'Social Media Marketing', 'Content Creation', 'Graphic Design', 'public engagement']",['Learn step-by-step'],['Martina Cipolletti'],['Coursera Project Network'],Social Sciences,https://www.coursera.org/projects/niche-engagement-stories
Applied Data Science with Python Specialization,4.5,Intermediate level,4 months at 10 hours a week,Flexible schedule,"25,911 reviews",Conduct an inferential statistical analysisDiscern whether a data visualization is good or badEnhance a data analysis with applied machine learningAnalyze the connectivity of a social network,"['Text Mining', 'Python Programming', 'Pandas', 'Matplotlib']","['Introduction to Data Science in Python', 'Applied Plotting, Charting & Data Representation in Python', 'Applied Machine Learning in Python', 'Applied Text Mining in Python', 'Applied Social Network Analysis in Python']","['Daniel Romero', 'Christopher Brooks', 'Kevyn Collins-Thompson', 'V. G. Vinod Vydiswaran']",['University of Michigan'],Social Sciences,https://www.coursera.org/specializations/data-science-python
Computer Science: Programming with a Purpose,4.7,Beginner level,Approx. 88 hours to complete,Flexible schedule,"1,096 reviews",,"['Programming Principles', 'Computer Science', 'Algorithms', 'Java Programming']","['BASIC PROGRAMMING CONCEPTS', 'CONDITIONALS AND LOOPS', 'ARRAYS', 'INPUT AND OUTPUT', 'FUNCTIONS AND LIBRARIES', 'RECURSION', 'PERFORMANCE', 'ABSTRACT DATA TYPES', 'CREATING DATA TYPES', 'PROGRAMMING LANGUAGES']","['Kevin Wayne', 'Robert Sedgewick']",['Princeton University'],Social Sciences,https://www.coursera.org/learn/cs-programming-java
Social Science Approaches to the Study of Chinese Society Part 1,4.7,Beginner level,Approx. 13 hours to complete,Flexible schedule,46 reviews,,[],"['What is social science?', 'The Big Questions', 'Social Science Research on China', 'The Social Science Disciplines', 'Study Designs', 'Challenges', 'Cause and Effect', 'Final Exam']",['Cameron Campbell'],['The Hong Kong University of Science and Technology'],Social Sciences,https://www.coursera.org/learn/social-science-study-chinese-society
Managing Emotions in Times of Uncertainty & Stress,4.8,Beginner level,Approx. 9 hours to complete,Flexible schedule,"2,756 reviews",Educate school staff in the science and impact of stressProvide school staff with the opportunity to build and apply social and emotional skills and strategiesOffer strategies for helping students to identify and manage their emotionsProvide resources and ideas that are relevant during this time of heightened stress and uncertainty,[],"['Introduction to SEL and Why Emotions Matter', 'Identifying Our Emotions', 'Managing Our Own Emotions with Action Strategies', 'Managing Emotions by Shifting How We Think', 'Becoming a Culturally Responsive Emotion Scientist', ""Identifying Others' Emotions"", 'Helping Others Manage Emotions', 'Making a Commitment to Lasting Change']",['Marc Brackett'],['Yale University'],Social Sciences,https://www.coursera.org/learn/managing-emotions-uncertainty-stress
Quantitative Methods,4.7,,29 hours (approximately),Flexible schedule,"2,217 reviews",,[],"['Before we get started...', 'Origins of the scientific method', 'The Scientific Method', 'Research Designs', 'Measurement', 'Sampling', 'Practice, Ethics & Integrity', 'Catch Up', 'Exam Time!']",['Annemarie Zand Scholten'],['University of Amsterdam'],Social Sciences,https://www.coursera.org/learn/quantitative-methods
Social Science Approaches to the Study of Chinese Society Part 2,4.7,Beginner level,Approx. 15 hours to complete,Flexible schedule,18 reviews,,[],"['Designing a Study', 'Evidence', 'Sampling', 'Public Data for China', 'Quantitative Analysis', 'Research and Professional Ethics', 'Where to go from here', 'Final exam']",['Cameron Campbell'],['The Hong Kong University of Science and Technology'],Social Sciences,https://www.coursera.org/learn/social-science-research-chinese-society
Survey Data Collection and Analytics  Specialization,4.3,Beginner level,3 months at 10 hours a week,Flexible schedule,844 reviews,,"['Data Collection', 'Cluster Sampling', 'R Programming', 'Missing Data']","['Framework for Data Collection and Analysis', 'Data Collection: Online, Telephone and Face-to-face', 'Questionnaire Design for Social Surveys', 'Sampling People, Networks and Records', 'Dealing With Missing Data', 'Combining and Analyzing Complex Data']","['Frederick Conrad, Ph.D.', 'James M Lepkowski', 'Richard Valliant, Ph.D.', 'Mariel Leonard', 'Frauke Kreuter, Ph.D.']","['University of Michigan', 'University of Maryland, College Park']",Social Sciences,https://www.coursera.org/specializations/data-collection
Information​ ​Systems Specialization,4.8,Beginner level,1 months at 10 hours a week,Flexible schedule,"1,209 reviews",Utilize conceptual frameworks to align IT investments with business strategySpecify business requirements as information system specificationsAssess the fit between business requirements and enterprise systems featuresEvaluate technological alternatives for developing the IT infrastructure for the organization,"['Project Management', 'Critical Thinking', 'Management']","['IS/IT Governance', 'Analysis for Business Systems', 'Enterprise Systems', 'IT Infrastructure and Emerging Trends']","['Soumya Sen', 'Gautam Ray', 'Ken Reily', 'Jason Chan']",['University of Minnesota'],Social Sciences,https://www.coursera.org/specializations/information-systems
Design a User Experience for Social Good & Prepare for Jobs,4.9,Beginner level,24 hours (approximately),Flexible schedule,"3,150 reviews","Apply each step of the UX design thinking framework (empathize, define, ideate, prototype, test) to create a  project focused on social good.Build wireframes, mockups, and low-fidelity and high-fidelity prototypes for a dedicated mobile app and a responsive website. Prepare to successfully interview for an entry-level UX design job.Determine if freelance design work is a good career fit.","['Usability Testing', 'User Experience (UX)', 'UX design jobs', 'Prototype', 'User Experience Design (UXD)']","['Design for social good and strengthen your portfolio', 'Build a professional presence', 'Finding a UX job']",['Google Career Certificates'],['Google'],Social Sciences,https://www.coursera.org/learn/ux-design-jobs
Google Data Analytics Professional Certificate,4.8,Beginner level,6 months at 10 hours a week,Flexible schedule,"130,425 reviews","Gain an immersive understanding of the practices and processes used by a junior or associate data analyst in their day-to-day jobLearn key analytical skills (data cleaning, analysis, & visualization) and tools (spreadsheets, SQL, R programming, Tableau) Understand how to clean and organize data for analysis, and complete analysis and calculations using spreadsheets, SQL and R programmingLearn how to visualize and present data findings in dashboards, presentations and commonly used visualization platforms","['Data Analysis', 'Creating case studies', 'Data Visualization', 'Data Cleansing', 'Developing a portfolio', 'Data Collection', 'Spreadsheet', 'Metadata', 'SQL', 'Data Ethics', 'Data Aggregation', 'Data Calculations', 'R Markdown', 'R Programming', 'Rstudio', 'Tableau Software', 'Presentation', 'Data Integrity', 'Sample Size Determination', 'Decision-Making', 'Problem Solving', 'Questioning']","['Foundations: Data, Data, Everywhere', 'Ask Questions to Make Data-Driven Decisions', 'Prepare Data for Exploration', 'Process Data from Dirty to Clean', 'Analyze Data to Answer Questions', 'Share Data Through the Art of Visualization', 'Data Analysis with R Programming', 'Google Data Analytics Capstone: Complete a Case Study']",['Google Career Certificates'],['Google'],Social Sciences,https://www.coursera.org/professional-certificates/google-data-analytics
Introduction to Psychology ,4.9,Beginner level,Approx. 14 hours to complete,Flexible schedule,"27,546 reviews",,"['Critical Thinking', 'Problem Solving', 'analytical thinking', 'abstract thinking', 'reasoning']","['Welcome to Introduction to Psychology ', 'Foundations ', 'Development and Language ', 'Cognition', 'Self and others ', 'Variation', 'The good life']",['Paul Bloom'],['Yale University'],Social Sciences,https://www.coursera.org/learn/introduction-psychology
Qualitative Research Methods,4.6,Intermediate level,23 hours (approximately),Flexible schedule,"1,261 reviews",,[],"['Philosophy of Qualitative Research', 'Observation', 'Good Practices & Criteria', 'Qualitative Interviewing', 'Qualitative Analysis', 'Writing, mixing & ethics', 'Catch up week', 'Exam week']",['Gerben Moerman'],['University of Amsterdam'],Social Sciences,https://www.coursera.org/learn/qualitative-methods
The Science of Success: What Researchers Know that You Should Know,4.8,Beginner level,Approx. 11 hours to complete,Flexible schedule,"2,705 reviews","Understand how to get better results at work and school.Achieve personal career success.Practice enjoying a meaningful, happy, and healthy life.","['Personal Branding', 'Planning', 'Social Capital', 'Self-Motivation']","['Introduction to the Science of Success: What Researchers Know that You Should Know', 'The Power of Beliefs ', 'The Power of Expertise ', 'The Power of Self-Motivation ', 'The Power of Relationships ', 'The Power of a Plan: Creating Your Action Plan', 'Your Personalized Action Plan']",['Paula Caproni'],['University of Michigan'],Social Sciences,https://www.coursera.org/learn/success
Social Policy for Social Services & Health Practitioners  Specialization,4.8,Beginner level,2 months at 10 hours a week,Flexible schedule,312 reviews,"Compare historical, intellectual and cross-national perspectives on the size, structure and outcomes of U.S. social policy    Demonstrate knowledge of U.S. social welfare policy and its economic, social, and political contexts, in order to be an engaged citizenDifferentiate the various levels and structures of public benefits, and the social justice impact on people receiving themFormulate skills in social policy implementation in order to be more effective in professional practice","['differentiate alternative approaches to social policy problems', 'Critique components of a social policy based on their effectiveness at meeting the goals stated in the initiative', 'Formulate practice strategies to overcome the historic biases in social welfare programs', 'distinguish the values inherent in each social policy initiative', 'develop social welfare policy analysis and reform proposals']","['US Social Services Compared', 'US Social Services: Where did they come from?', 'Poverty & Population: How Demographics Shape Policy', 'Social Services for Families, Seniors and Those with Disabilities', 'Health, Housing, and Educational Services']",['John Robertson'],['Columbia University'],Social Sciences,https://www.coursera.org/specializations/social-welfare-policy
Basic Statistics,4.6,Beginner level,26 hours (approximately),Flexible schedule,"4,357 reviews",,"['Statistics', 'Confidence Interval', 'Statistical Hypothesis Testing', 'R Programming']","['Before we get started...', 'Exploring Data', 'Correlation and Regression', 'Probability', 'Probability Distributions', 'Sampling Distributions', 'Confidence Intervals', 'Significance Tests', 'Exam time!']","['Matthijs Rooduijn', 'Emiel van Loon']",['University of Amsterdam'],Social Sciences,https://www.coursera.org/learn/basic-statistics
Foundations of Project Management,4.9,Beginner level,25 hours (approximately),Flexible schedule,"76,512 reviews","Describe project management skills, roles, and responsibilities across a variety of industriesExplain the project management life cycle and compare different program management methodologies Define organizational structure and organizational culture and explain how it impacts project management.","['Project Management', 'Change Management', 'Strategic Thinking', 'Career Development', 'Organizational Culture']","['Embarking on a career in project management', 'Becoming an effective project manager', 'The project management life cycle and methodologies', 'Organizational structure and culture']",['Google Career Certificates'],['Google'],Social Sciences,https://www.coursera.org/learn/project-management-foundations
Innovative Teaching with ChatGPT,4.6,Beginner level,Approx. 2 hours to complete,Flexible schedule,91 reviews,"How to brainstorm lesson plans that integrate learner interests and needsHow to personalize and customize examples, games, assessments, and other educational materials for individual students","['student engagement', 'educational games', 'Brainstorming', 'Lesson Plan', 'Personalized Learning']",['Introduction'],['Dr. Jules White'],['Vanderbilt University'],Social Sciences,https://www.coursera.org/learn/chatgpt-innovative-teaching
Academic Skills for University Success Specialization,4.9,Beginner level,4 months at 10 hours a week,Flexible schedule,"5,780 reviews",,[],"['Information & Digital Literacy for University Success', 'Problem-Solving Skills for University Success', 'Critical Thinking Skills for University Success', 'Communication Skills for University Success', 'Academic Skills for University Success: Capstone']","['Jessica Blackburn', 'Katherine Olston', 'Lydia Dutcher', 'Luke Alexander']",['The University of Sydney'],Social Sciences,https://www.coursera.org/specializations/academic-skills
Academic English: Writing Specialization,4.8,Beginner level,2 months at 10 hours a week,Flexible schedule,"12,044 reviews",,"['Punctuation', 'Essay Writing', 'Academic Writing', 'Writing']","['Grammar and Punctuation', 'Getting Started with Essay Writing', 'Advanced Writing', 'Introduction to Research for Essay Writing', 'Project: Writing a Research Paper']","['Brad Gilpin', 'Helen Nam', 'Tamy Chapman']","['University of California, Irvine']",Social Sciences,https://www.coursera.org/specializations/academic-english
 How to create Social Media graphics in Canva ,4.2,Beginner level,2 hours,,78 reviews,Learn how to use Canva for all of your social media graphicsLearn how to design animated post for better engagement Learn about every secondary tool that canva offers,"['Art', 'Social Media', 'Web Application', 'Social Media Platforms', 'Graphic Design']",['Learn step-by-step'],['Monica I. Heredia Rodriguez'],['Coursera Project Network'],Social Sciences,https://www.coursera.org/projects/how-to-create-social-media-graphics-in-canva
Miracles of Human Language: An Introduction to Linguistics,4.7,Beginner level,Approx. 23 hours to complete,Flexible schedule,"2,350 reviews",,"['Essay Writing', 'History', 'English Language', 'Chinese Language']","['Introduction to Linguistics', 'The study of sound:  Phonology and Phonetics', 'The study of words and sentences: Morphology and Syntax', 'The study of meaning: Pragmatics and Semantics', 'Language in the Brain', 'Language in the Society']",['Marc van Oostendorp'],"['Universiteit Leiden', 'Meertens instituut (KNAW)']",Social Sciences,https://www.coursera.org/learn/human-language
Animals and Society Specialization,4.7,Beginner level,1 months at 10 hours a week,Flexible schedule,138 reviews,"Account for the shifting roles and statuses of animals in society and their social, cultural, and ethical consequences Use key perspectives and concepts in the field of human/animal studies to explain the status of animals in contemporary societyDemonstrate an understanding of the importance of considering animals in analyses of social issuesAnalyze the socially constructed boundaries drawn between humans and animals and review their consequences","['Animal welfare', 'Sociological concepts']","['Animals, Self, and Society', 'Animals and Institutions', 'The Changing Status and Perception of Animals']",['Leslie Irvine'],['University of Colorado Boulder'],Social Sciences,https://www.coursera.org/specializations/animals-society
Emotional and Social Intelligence,4.7,Beginner level,12 hours (approximately),Flexible schedule,"1,061 reviews",,[],"['Introduction to Emotional and Social Awareness - ESI', 'Self-Management', 'Social Awareness and Empathy', 'Relationship Management']",['Laurie Cozart'],"['University of California, Davis']",Social Sciences,https://www.coursera.org/learn/emotional-and-social-intelligence
Information Technology (IT) Fundamentals for Everyone,4.6,Beginner level,18 hours (approximately),Flexible schedule,60 reviews,"Define operating systems, computer components, programming concepts, databases, and explain the differences between commercial and open software  Summarize the importance of computer networks, including wired and wireless connections; explore network resources and storage types in MS Windows  Describe how to protect against security threats, address public browsing security concerns, and list password management best practices  List the benefits of cloud computing, describe the cloud infrastructure layer, virtual machines, and summarize features of ticketing systems","['Project Management', 'Information Technology', 'Cloud Computing', 'security', 'Operating Systems']","['Introduction to Hardware and Operating Systems', 'Introduction to Software, Programming, and Databases', 'Introduction to Networking and Storage', 'Introduction to Cybersecurity Essentials', 'Introduction to Cloud Computing', 'Final Assessment and (Bonus) IT Support and Operations']",['IBM Skills Network Team'],['IBM'],Social Sciences,https://www.coursera.org/learn/information-technology-it-fundamentals-for-everyone
Google UX Design Professional Certificate,4.8,Beginner level,6 months at 10 hours a week,Flexible schedule,"71,555 reviews","Follow the design process: empathize with users, define pain points, ideate solutions, create wireframes and prototypes, test and iterate on designsUnderstand the basics of UX research, like planning research studies, conducting interviews and usability studies, and synthesizing research resultsApply foundational UX concepts, like user-centered design, accessibility, and equity-focused designCreate a professional UX portfolio that includes 3 end-to-end projects: a mobile app, a responsive website, and a cross-platform experience","['User Experience (UX)', 'Prototype', 'Wireframe', 'User Experience Design (UXD)', 'UX Research', 'mockup', 'Figma', 'Usability Testing', 'UX design jobs']","['Foundations of User Experience (UX) Design', 'Start the UX Design Process: Empathize, Define, and Ideate', 'Build Wireframes and Low-Fidelity Prototypes', 'Conduct UX Research and Test Early Concepts', 'Create High-Fidelity Designs and Prototypes in Figma', 'Build Dynamic User Interfaces (UI) for Websites', 'Design a User Experience for Social Good & Prepare for Jobs']",['Google Career Certificates'],['Google'],Social Sciences,https://www.coursera.org/professional-certificates/google-ux-design
Astronomy: Exploring Time and Space,4.8,Beginner level,Approx. 43 hours to complete,Flexible schedule,"3,571 reviews",,"['Solar Systems', 'Chemistry', 'Theory Of Relativity', 'Astrobiology']","['Astronomy: Exploring Time and Space', 'Science and History', 'The Night Sky', 'The Tools of Astronomy', 'Matter and Radiation', 'The Solar System', 'Exoplanets', 'Star Birth and Death', 'Galaxies', 'Cosmology', 'Life in the Universe']",['Chris Impey'],['University of Arizona'],Social Sciences,https://www.coursera.org/learn/astro
Writing in the Sciences,4.9,Beginner level,Approx. 30 hours to complete,Flexible schedule,"8,251 reviews",,"['Grammar', 'Writing', 'Medical Writing', 'Science Communication']","['1', '2', '3', '4', '5', '6', '7', '8']",['Dr. Kristin Sainani'],['Stanford University'],Social Sciences,https://www.coursera.org/learn/sciwrite
Israel State and Society ,4.7,Beginner level,Approx. 21 hours to complete,Flexible schedule,356 reviews,,[],"['Introduction', ""Zionism - The ideological roots of Israel's state and society "", 'Building a nation, constructing a memory: on sacred time and space in the Israeli society ', 'Who are the Israelis – Demographic dynamics and their social consequences', ""Israel's political system"", 'Israel in the Middle East – War and peace ', 'Israel as a Jewish state - Can a state be\xa0both\xa0Jewish\xa0and\xa0democratic?', 'Jewish-Arab relations in Israel – Conflicts and integration ', 'A society of immigrants – multiculturalism and social stratification', '  A nation in uniforms – the social consequences of the unending conflict ', 'From state-building to neoliberalism: the role of the state in Israel’s economy', 'Determinants of voting behavior in Israel', 'Is there an Israeli identity? ', 'Jerusalem, the microcosms of Israeli society – History, politics and everyday life ']",['Michal Frenkel'],['Hebrew University of Jerusalem'],Social Sciences,https://www.coursera.org/learn/israel
