Course Title,Rating,Level,Duration,Schedule,Review,What you will learn,Skill gain,Modules,Instructor,Offered By,Keyword,Course Url
Achieving Personal and Professional Success Specialization,4.7,Beginner level,1 months at 10 hours a week,Flexible schedule,"2,439 reviews",,"['goal setting', 'Communication', 'Negotiation', 'Deception', 'Happiness', 'Personality Development', 'Personal Development']","['Success', 'Improving Communication Skills', 'Influence']","['Richard Shell', 'Cade Massey', 'Stewart D.  Friedman', 'Maurice Schweitzer']",['University of Pennsylvania'],Personal Development,https://www.coursera.org/specializations/wharton-success
"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",4.6,,10 hours (approximately),Flexible schedule,"15,538 reviews",Plan effectively to achieve your personal and professional goalsRecognize and overcome barriers to successful time managementKeep your sense of perspective to prevent and manage crisesManage resources effectively and efficiently,"['Task Management', 'Management', 'Planning', 'Plan']","['Module 1', 'Module 2', 'Module 3', 'Module 4']","['Margaret  Meloni,  MBA, PMP']","['University of California, Irvine']",Personal Development,https://www.coursera.org/learn/work-smarter-not-harder
Be Your Best Creative Self,4.6,Beginner level,Approx. 20 hours to complete,Flexible schedule,64 reviews,How to reliably attain and nurture a creative stateHow to brainstorm using four effective and reliable processesHow to define and promote your personal brandHow to work successfully with others as a creative professional,"['photographer', 'writer', 'Graphic Design', 'creative professional', 'video']","['Module 1: Creativity and Effective Brainstorming', 'Module 2: Your Personal Brand', 'Module 3: Working with Others']",['David Underwood'],['University of Colorado Boulder'],Personal Development,https://www.coursera.org/learn/be-your-best-creative-self
Solving Problems with Creative and Critical Thinking,4.6,Beginner level,3 hours (approximately),Flexible schedule,205 reviews,Utilize critical and creative thinking to solve issues.Describe the 5-step process of effectively solving problems.Analyze a problem and identify the root cause.Explore possible solutions and employ the problem solving process.,"['Critical Thinking', 'Creative Thinking', 'Professional Development', 'Problem Solving', 'Soft skills']",['Solving Problems with Creative and Critical Thinking'],['IBM Skills Network Team'],['IBM'],Personal Development,https://www.coursera.org/learn/solving-problems-with-creative-and-critical-thinking
"Personal Productivity, Time Management and Prioritization",4.5,Beginner level,Approx. 6 hours to complete,Flexible schedule,35 reviews,"Learners will prioritize work based on urgency and importance, leading to enhanced focus on goal-oriented tasksAcquire skills to organize time efficiently dedicating appropriate slots for different activities and maximizing productivityGain insights into the importance of workspace organization, reducing distractions and fostering a conducive work environment.  Apply strategies for effective data organization, reducing search time and supporting better decision-making.  ","['Focus', 'Productivity', 'Time-Blocking', 'Prioritization', 'Organization']","['Personal Productivity, Time Management and Prioritization']",['Julian Jenkins'],['Starweaver'],Personal Development,https://www.coursera.org/learn/personal-productivity-time-management-and-prioritization
Connected Leadership,4.8,Beginner level,Approx. 31 hours to complete,Flexible schedule,299 reviews,Improve your ability to get the most out of life  Strengthen your leadership toolkit  Practice and apply systems thinking to plan for change  ,"['Team Building', 'Emotional Intelligence', 'Team Management', 'Systems Thinking', 'Leadership And Management']","['Introduction to Connected Leadership', 'Self | The Purpose-Driven, Connected Leader', 'Teams | Unlocking the Potential of Working Together', 'System | Helping to Improve the World Around Us', 'Looking Forward | Connected Leadership - Using the Toolkit: From Self To System']",['Peter Boyd'],['Yale University'],Personal Development,https://www.coursera.org/learn/connected-leadership
Foundations of Positive Psychology  Specialization,4.8,Beginner level,2 months at 10 hours a week,Flexible schedule,"6,738 reviews",Master strategies and tools that enable individuals and organizations to thrive. Discover key theories and research in the field of positive psychology as well as opportunities for application. Apply key concepts from Positive Psychology to your personal and professional life. ,"['Gratitude', 'goal setting', 'Research Methodology', 'Resilience']","['Positive Psychology: Martin E. P. Seligman’s Visionary Science', 'Positive Psychology: Applications and Interventions', 'Positive Psychology: Character, Grit and Research Methods', 'Positive Psychology: Resilience Skills', 'Positive Psychology Specialization Project: Design Your Life for Well-being']","['James Pawelski, Ph.D. ', 'Karen Reivich, Ph.D.', 'Angela Duckworth, Ph.D.', 'Martin E.P. Seligman, Ph.D.', 'Claire Robertson-Kraft, Ph.D.']",['University of Pennsylvania'],Personal Development,https://www.coursera.org/specializations/positivepsychology
Leadership Skills,4.8,Beginner level,Approx. 46 hours to complete,Flexible schedule,"1,025 reviews",Acquire an understanding of oneself and build inner stability.Describe various leadership styles and how to lead downwards.Explain the biases that impact communication and a leader’s decision-making capability.Explore the art of leading upward and sideways.,"['Mindfulness', 'Leading and managing change in organisation', 'Leading subordinates effectively', 'Positive Personality', 'Supportive communication']","['Leading the Self: Mindfulness, Inner Stability, and Positive Strengths', 'Leading Downward: Leader Behaviors and Leadership Styles', 'Building Sustainable Relationships: Supportive Communication and Decision-making Biases ', 'Power, Politics, and Leading Upwards ', 'Ethics, Culture, and Change Management', 'Leadership and Ancient Indian Wisdom: Lessons from the Mahabharata ', 'Peer Review Assignment']",['Vishal Gupta'],['IIMA - IIM Ahmedabad'],Personal Development,https://www.coursera.org/learn/leadershipskills
Finding Purpose and Meaning In Life: Living for What Matters Most,4.8,Beginner level,Approx. 8 hours to complete,Flexible schedule,"2,254 reviews",Understand that having a strong purpose in life is an essential element of human well-beingKnow how self-transcending purpose positively affects well-beingCreate a purpose for your lifeApply personal approaches and skills to self-change and become and stay connected to your purpose every day,"['Purpose', 'well-being']","['What is a Purpose in Life?', 'How Purpose Organizes our Lives', 'How Purpose Changes our Lives', 'How Purposes Work in Real Life']",['Vic Strecher'],['University of Michigan'],Personal Development,https://www.coursera.org/learn/finding-purpose-and-meaning-in-life
The Science of Success: What Researchers Know that You Should Know,4.8,Beginner level,Approx. 11 hours to complete,Flexible schedule,"2,705 reviews","Understand how to get better results at work and school.Achieve personal career success.Practice enjoying a meaningful, happy, and healthy life.","['Personal Branding', 'Planning', 'Social Capital', 'Self-Motivation']","['Introduction to the Science of Success: What Researchers Know that You Should Know', 'The Power of Beliefs ', 'The Power of Expertise ', 'The Power of Self-Motivation ', 'The Power of Relationships ', 'The Power of a Plan: Creating Your Action Plan', 'Your Personalized Action Plan']",['Paula Caproni'],['University of Michigan'],Personal Development,https://www.coursera.org/learn/success
Good with Words: Writing and Editing Specialization,4.7,Beginner level,2 months at 10 hours a week,Flexible schedule,"1,883 reviews",Creative ways to use syntaxTechniques for adding nuance to your sentences and slogansTips to help you punctuate and paragraph like a professionalHabits needed to complete both short-term and long-term projects,"['Creativity', 'Time management', 'Persuasion', 'Writing', 'Editing']","['Writing and Editing: Word Choice and Word Order', 'Writing and Editing: Structure and Organization', 'Writing and Editing: Drafting', 'Writing and Editing: Revising']",['Patrick Barry'],['University of Michigan'],Personal Development,https://www.coursera.org/specializations/good-with-words
Principles of Leadership: Leading Oneself Specialization,4.8,Beginner level,3 months at 10 hours a week,Flexible schedule,37 reviews,"Describe why identifying one's own strengths, core values, behavior patterns and motivations are foundational for defining personal excellence.Describe how knowing your core purpose, crafting a personal mission and vision help us find meaning in our lives and define personal characterThrough an understanding of self and situational awareness, identify strategies to perform at your best when it matters most.","['Personal Identity', 'goal setting', 'Mental toughness', 'character', 'Values']","['Leading Oneself with Self-Knowledge', 'Leading Oneself with Purpose and Meaning', 'Leading Oneself with Personal Excellence']",['Ron Duren Jr.'],['University of Colorado Boulder'],Personal Development,https://www.coursera.org/specializations/principles-of-leadership-leading-oneself
Relationship Management and Business Development ,4.4,Intermediate level,Approx. 6 hours to complete,Flexible schedule,42 reviews,"Implement effective strategies to identify and cultivate relationships with clients, stakeholders, and business partners.   Apply techniques for segmenting target markets and utilizing proactive networking approaches to identify potential relationship opportunities.   Build rapport and engage in effective communication within a business context, emphasizing trust, credibility, and strong connections.   Leverage relationships to create business opportunities through a client-centric approach, and upselling, and nurturing long-term partnerships.","['Relationship Building', 'Business development', 'Stakeholder Management', 'Networking', 'Rapport Building']",['Relationship Management and Business Development'],['Hector Sandoval'],['Starweaver'],Personal Development,https://www.coursera.org/learn/relationship-management-and-business-development
Resilience for Everyone Specialization,4.9,Beginner level,1 months at 10 hours a week,Flexible schedule,7 reviews,,"['Addressing immediate stressors', 'Managing your time effectively', 'Reducing long-term or daily stress']","['Managing Stress and Time', 'Grit and Growth Mindset', 'Positive Thinking and Thriving', 'Empathy for Self and Others']",['CareerCatalyst '],['Arizona State University'],Personal Development,https://www.coursera.org/specializations/resilience-for-everyone
Essential Skills for Your Career Development,4.6,Beginner level,Approx. 5 hours to complete,Flexible schedule,10 reviews,"Identify different approaches to growing your career by exploring a roadmap and vision board, and be able to explain your career vision clearly.Identify key individuals, organisations and platforms for your network, and develop communications to engage key leads.Evaluate the impact of your strategy and iterate accordingly.","['Professional Development', 'Career Development', 'Value Proposition']","['Week 1 - Defining your career', 'Week 2 - Growing your career']",['Jennifer Rosen'],['University of Leeds'],Personal Development,https://www.coursera.org/learn/essential-skills-for-your-career-development
Ignite Your Everyday Creativity,4.4,,Approx. 18 hours to complete,Flexible schedule,300 reviews,,[],"['What is Creativity?', 'The Creative Person', 'The Creative Press', 'The Creative Process', 'The Creative Product', 'Putting Ideas into Context']","['Dr. John F Cabra', 'Dr. Cyndi Burnett']",['The State University of New York'],Personal Development,https://www.coursera.org/learn/ignite-creativity
Learning How To Learn for Youth,4.8,Beginner level,Approx. 6 hours to complete,Flexible schedule,"2,762 reviews",Compare two modes of thinking and their effective use.Identify the cause of procrastination and how to stop doing it.Explain how sleep and exercise improve learning and memory. Discover how active learning can help you study more effectively.,"['Test Preparation', 'Learning To Learn', 'Pomodoro Technique', 'Meta Learning']","['What is Learning?', 'Tips to Build Your Memory', 'Brain Links and Study Tips']","['Barbara Oakley', 'Greg Hammons', 'Dr. Terrence Sejnowski']",['Arizona State University'],Personal Development,https://www.coursera.org/learn/learning-how-to-learn-youth
The Art of Visual Storytelling Specialization,4.7,Beginner level,2 months at 10 hours a week,Flexible schedule,49 reviews,"Create a proposal for a video project that includes specific elements of production.Understand visual storytelling structure.Shoot video that meets standards of sequencing, composition, focus and exposure.Edit footage with matching action, seamless cuts, and properly mixed audio.","['scripting', 'Graphics', 'visual storytelling', 'Videography', 'Editing']","['A Blueprint for Success – Your Video Pre-Production', 'Ready to Roll – The Video Production Process', 'Bring Your Story to Life – Video Post-Production']","['Paul Daugherty', 'Emilie Johnson']",['University of Colorado Boulder'],Personal Development,https://www.coursera.org/specializations/the-art-of-visual-storytelling
Build a Professional Resume using Canva,4.4,Beginner level,1.5 hours,,540 reviews,Build a Resume that is Professional as well as Eye-catchingKeyword Optimize the Resume to make it Applicant Tracking System(ATS) friendlyUse Graphics and Templates to make the Resume stand out,"['Search Engine Optimization (SEO)', 'Canva', 'Resume writing', 'Graphic Design', 'professional resume']",['Learn step-by-step'],['Abhishek Jha'],['Coursera Project Network'],Personal Development,https://www.coursera.org/projects/build-a-professional-resume-using-canva
Mindfulness: An Approach to Stress Reduction,4.8,Beginner level,Approx. 7 hours to complete,Flexible schedule,10 reviews,"Stress less, focus better, and live happier.","['Mindfulness', 'Emotional Intelligence', 'Stress Management', 'Relational Skills', 'Resilience']","['Week 1: Introduction', 'Week 2: Mindfulness in daily activities', 'Week 3: Creativity & Flourishment', 'Week 4: Wind-down', 'Week 5: Stress Management', 'Week 6: Applying Mindfulness to Stress Management', 'Final Exam']",['Eunmi (Jina) Kim'],['Korea Advanced Institute of Science and Technology(KAIST)'],Personal Development,https://www.coursera.org/learn/an-approach-to-stress-reduction
Introduction to Personal Branding,4.4,Beginner level,Approx. 6 hours to complete,Flexible schedule,"8,584 reviews",,"['Personal Branding', 'Social Media', 'Management', 'Brand Management']","['Introduction', 'An Overview of Personal Branding', ""Building your Brand's Infrastructure"", ""Establishing Your Brand's Digital Home: A Guide to Claiming Your Parts of the Web"", ""Creating your Brand's Maintenance Plan"", 'Your Online Identity: How reputation and digital privacy affect your Brand.']","['Kimberley  Barker, MLIS']",['University of Virginia'],Personal Development,https://www.coursera.org/learn/personal-branding
Communicating Your Best Self ,,Beginner level,6 hours (approximately),Flexible schedule,,,"['Using video meetings to communicate', 'Using email to communicate', 'Communicating with others in person']","['Start Here', 'Using email to communicate', 'Using video meetings to communicate', 'Communicating with others in person', 'Course Conclusion']",['CareerCatalyst '],['Arizona State University'],Personal Development,https://www.coursera.org/learn/communicatingyourbestself
Accomplishment STAR Techniques for Job Interviews,4.7,Beginner level,1 hour,,266 reviews,Create an Accomplishment STAR Technique for Job InterviewsCreate an Accomplishment STAR Technique Using a Job DescriptionIdentify phrases and statements that makes a poor Accomplishment STAR Statement,"['Communication', 'Business Writing', 'Self-representation', 'Job Readiness', 'listening']",['Learn step-by-step'],['Dianna Eckford'],['Coursera Project Network'],Personal Development,https://www.coursera.org/projects/accomplishment-star-techniques-for-job-interviews
The Teacher and Social and Emotional Learning (SEL) Specialization,4.7,Beginner level,2 months at 10 hours a week,Flexible schedule,632 reviews,,"['Evaluation', 'Emotional Engagement', 'Teaching and Learning', 'Social Emotional Learning', 'SEL in Curriculum']","[""The Teacher's Social and Emotional Learning"", 'SEL for Students: A Path to Social Emotional Well-Being', 'Expanding SEL', 'Teacher SEL: Programs, Possibilities, and Contexts', 'SEL Capstone']","['Emily Claire Price', 'Randy Testa', 'Ben Kirshner', 'Dan Liston']",['University of Colorado Boulder'],Personal Development,https://www.coursera.org/specializations/teacher-sel
English Lower Intermediate B1.1,4.1,Intermediate level,Approx. 16 hours to complete,Flexible schedule,26 reviews,Essential grammar and vocabulary to talk and write about diverse topics. Reading and listening skills development. Problem-solving skills for travel.,[],"['Nice to meet you!', 'People and Relationships', 'Free time activities', 'Holidays and travel', 'Food and cooking', 'Home and living']",['Ruth Kerr'],['Università di Napoli Federico II'],Personal Development,https://www.coursera.org/learn/english-lower-intermediateb1
Leadership Out of the Box Specialization,4.6,Advanced level,2 months at 10 hours a week,Flexible schedule,41 reviews,To use frameworks and models to make sense of your current work context.The importance of self awareness in the leader.To go beyond managing into a proactive stance that will take your organisation forward. How to lead your boss.,"['Distinguish between leadership and management', 'Building trust and coaching', 'Leading your peers and dealing with disruptors', 'How to overcome the fallacy of multitasking', 'How to become more personally resilient']","['Getting Started with Leadership', 'Stepping Up: Preparing Yourself for Leadership', 'Stepping Up: Leading Others', 'Influencing the Organisation']","['Arun Singh', 'Dr Nigel Spencer', 'Mike Mister']",['Queen Mary University of London'],Personal Development,https://www.coursera.org/specializations/leadership-out-of-the-box
Foundations of Teaching for Learning: Being a Teacher,4.6,,Approx. 11 hours to complete,Flexible schedule,867 reviews,,"['Teaching', 'Reflective Practice', 'Pedagogy', 'Evaluation']","['What is a teacher?', 'Myself and My Learning', 'Influences on my learning', 'Impacts on my learning', 'How do I learn?', 'My learning environment']","['Professor John MacBeath', 'Professor Dennis Francis']",['Commonwealth Education Trust'],Personal Development,https://www.coursera.org/learn/being-a-teacher
Build a mobile app with Google Sheets on Glide and no coding,4.5,Beginner level,2 hours,,623 reviews,"Create a data structure in Google Sheets to support a mobile appDevelop a mobile app with Glide starting from a Google Sheet and with no need of codingDistribute, install and test the mobile app","['Google Sheets', 'Web Development', 'Marketing', 'app development', 'Mobile Development']",['Learn step-by-step'],['Angelo Paolillo'],['Coursera Project Network'],Personal Development,https://www.coursera.org/projects/build-a-mobile-app-with-google-sheets-on-glide-and-no-coding
Leadership and Critical Thinking Specialization,4.4,Advanced level,2 months at 10 hours a week,Flexible schedule,79 reviews,,[],"['Leadership and organizational behavior', 'Critical thinking: reasoned decision making', 'Leadership focused on Human Flourishing']","['Elliott Kruse', 'Santiago José Vázquez Blanco', 'Eduardo Pérez Gorostieta']",['Tecnológico de Monterrey'],Personal Development,https://www.coursera.org/specializations/leadership-critical-thinking
Leadership Development for Engineers Specialization,4.7,Beginner level,2 months at 10 hours a week,Flexible schedule,510 reviews,,"['Communication', 'Stress Management', 'Management', 'Meeting']","['Self Awareness and the Effective Leader', 'Relationship Management ', 'Personal Leadership Development Planning and Leading High Performing Teams']",['David Van Kleeck'],['Rice University'],Personal Development,https://www.coursera.org/specializations/leadership-development-engineers
5 Ways to Build a Better LinkedIn Profile,4.4,Intermediate level,2 hours,,214 reviews,"Complete each section of an existing LinkedIn profile using LinkedIn best practicesChoose, edit, and resize a photograph to meet LinkedIn ideal sizing guidelinesCreate a testimonial request template to send to LInkedIn contacts","['Business Communication', 'Search Engine Optimization (SEO)', 'Resume Development']",['Learn step-by-step'],['Dvija Maurer'],['Coursera Project Network'],Personal Development,https://www.coursera.org/projects/5-ways-build-better-linkedin-profile
Success,4.8,Beginner level,9 hours (approximately),Flexible schedule,"1,157 reviews",,"['goal setting', 'Happiness', 'Personality Development', 'Personal Development']","['Week 1: Launching Your Personal Search for Success', 'Week 2: How to Think About Success on Your Own Terms', 'Week 3: Diving Deeper: What Research Tells Us About Achievement and Happiness', 'Week 4: Putting it Together: Charting Your Path to the Future']",['Richard Shell'],['University of Pennsylvania'],Personal Development,https://www.coursera.org/learn/wharton-success
Effective Problem-Solving and Decision-Making,4.6,Beginner level,8 hours (approximately),Flexible schedule,"6,600 reviews","Explain both the affordances and limitations associated with problem-solving and decision-makingReflect on how mindset and personal bias influence your ability to solve problems and make decisionsExplain and discuss how organizational decisions or non-decisions impact personal development, team dynamics, and company-wide performanceArticulate how both good and bad team decisions can benefit your professional growth","['Critical Thinking', 'Decision Theory', 'Decision-Making', 'Problem Solving', 'analysis']","['Identify the Problem', 'Generate Solutions', 'Make the Decision', 'Implement and Assess the Solution']",['Diane Spiegel'],"['University of California, Irvine']",Personal Development,https://www.coursera.org/learn/problem-solving
Workplace Culture for Everyone Specialization,,Beginner level,1 months at 10 hours a week,Flexible schedule,,,"['Soft skills', 'Professional Skills']","['Leading Through Effective Communication ', 'Digital Communication and Emotion', 'Avoiding Bias ', 'Empathy for Self and Others']",['CareerCatalyst '],['Arizona State University'],Personal Development,https://www.coursera.org/specializations/workplacecultureforeveryone
Game Design and Development with Unity 2020 Specialization,4.7,Beginner level,2 months at 10 hours a week,Flexible schedule,455 reviews,The ability to design and develop 2D games.The ability to design and develop 3D games.The game design and development process.,"['Unity', 'Video Game Development', 'technology', 'video game', 'Game Design']","['Game Design and Development 1: 2D Shooter', 'Game Design and Development 2: 2D Platformer', 'Game Design and Development 3: 3D Shooter', 'Game Design and Development 4: 3D Platformer', 'Game Design and Development 5: Capstone Project']",['Brian Winn'],['Michigan State University'],Personal Development,https://www.coursera.org/specializations/game-design-and-development
Life 101: Mental and Physical Self-Care,4.8,Beginner level,Approx. 15 hours to complete,Flexible schedule,198 reviews,,[],"['Adopting Good Habits for Self-Care', 'The Etiology, Physiology, Symptoms and Health Outcomes of Stress', 'Nutrition and Wellness', 'Mindfulness and Emotional Intelligence', 'The Many Mental and Physical Health Benefits of Exercise', 'The Impact of Sleep on Mental and Physical Wellness', 'The Health Benefits of Volunteering', 'Bad Drugs on College Campuses', 'Managing Personal Finances', 'The Impact of Nature Therapy on Stress Management']",['Mahtab Jafari'],"['University of California, Irvine']",Personal Development,https://www.coursera.org/learn/life101
Writing and Editing: Drafting,4.8,Beginner level,13 hours (approximately),Flexible schedule,328 reviews,Understand and reflect on the cost of perfectionism in writing  Conduct a “pre-mortem” before starting a writing draft  Identify summaries and scenes  Apply the “nothing else” and “need to know” principles  ,"['Creativity', 'Time management', 'Persuasion', 'Writing', 'Editing']","['The Fantasy of the Uninitiated', 'The Planning Fallacy', 'Write Before You Are Ready', 'To Name is To Know and Remember']",['Patrick Barry'],['University of Michigan'],Personal Development,https://www.coursera.org/learn/writing-editing-drafting
Assimilating into Your New Job,4.5,Beginner level,1 hour,,28 reviews,"1. Create a thank you note for the Hiring Manager/Recruiter and Contacts  2. Prepare a strategic plan for success BEFORE starting your new job","['Communication', 'Business Writing', 'Self-representation', 'Job Readiness', 'listening']",['Learn step-by-step'],['Dianna Eckford'],['Coursera Project Network'],Personal Development,https://www.coursera.org/projects/assimilating-into-your-new-job
Positive Thinking and Thriving,,,5 hours (approximately),Flexible schedule,,,[],"['Welcome to Positive Thinking and Thriving!', 'Forming better self-talk habits', 'Putting mindfulness into action', 'Achieving autonomy in the workplace', 'Course Conclusion']",['CareerCatalyst '],['Arizona State University'],Personal Development,https://www.coursera.org/learn/positivethinkingandthriving
Severe to Profound Intellectual Disability: Circles of Care and Education,4.8,Beginner level,Approx. 15 hours to complete,Flexible schedule,138 reviews,"Empowering all the people who work in a team to care and educate children with severe to profound intellectual disabilityConsidering lifelong learning by exploring brain development, the learning process, and how to maximise the opportunities for learning.How you can support children with severe to profound intellectual disability so that they can reach their full potential.  ","['Intellectual Disability Education', 'caregiving', 'Lifelong Learning', 'Facilitating Learning', 'Educating children with intellectual disability']","['Who is the child with severe to profound intellectual disability? ', 'Lifelong learning', 'Facilitating learning', 'Rights, advocacy and relationships of care']",['Judith McKenzie'],['University of Cape Town'],Personal Development,https://www.coursera.org/learn/intellectual-disability-care-education
Improving Communication Skills,4.7,Beginner level,9 hours (approximately),Flexible schedule,"1,908 reviews",,"['goal setting', 'Communication', 'Negotiation', 'Deception']","['Cooperation, Competition, and Comparisons', 'Trust', 'Deception', 'Effective Communication']",['Maurice Schweitzer'],['University of Pennsylvania'],Personal Development,https://www.coursera.org/learn/wharton-communication-skills
The Science of Well-Being for Teens,4.9,Beginner level,Approx. 12 hours to complete,Flexible schedule,421 reviews,You will learn what psychological science has to say about living the good lifeYou will engage in evidence-based behaviors proven to boost mood,[],"['Misconceptions about happiness', 'Biases that get in the way of happiness', 'Behaviors that make us happy', 'Thoughts that make us happy ', 'Feelings that make us happy', 'Achieving happiness goals']",['Laurie Santos'],['Yale University'],Personal Development,https://www.coursera.org/learn/the-science-of-well-being-for-teens
Cybersecurity and the X-Factor,4.7,Beginner level,12 hours (approximately),Flexible schedule,255 reviews,,[],"['Introduction to the X-Factor', 'Security Education: Training & Awareness', 'Reasons Why Traditional Training Efforts Fail', 'Threat Intelligence']","['Michael Whitman, Ph.D., CISM, CISSP', 'Dr. Traci Carte', 'Herbert J. Mattord, Ph.D., CISM, CISSP, CDP', 'Dr. Humayun Zafar, CEH, CISM, CRISC, PCIP', 'Andy Green, Ph.D.']",['University System of Georgia'],Personal Development,https://www.coursera.org/learn/cybersecurity-and-x-factor
Strategic Self-Marketing and Personal Branding,4.4,Intermediate level,15 hours (approximately),Flexible schedule,211 reviews,,"['Self-Assessment', 'Personal Branding', 'Skills Management', 'Generative AI awareness', 'Self-marketing']","['M1 Marketing and Branding the Skilled (Professional) Self', 'M2 Self-Marketing Strategies and Tactics', 'M3 Personal Branding Strategies and Tactics', 'M4 Putting It All Together:  Self-Administered Training Interventions']","['Amy Giaculli', 'Dr. Valeri Chukhlomin']",['The State University of New York'],Personal Development,https://www.coursera.org/learn/self-marketing
