Course Title,Rating,Level,Duration,Schedule,Review,What you will learn,Skill gain,Modules,Instructor,Offered By,Keyword,Course Url
Introduction to Electronics,4.7,,Approx. 46 hours to complete,Flexible schedule,"2,447 reviews",,[],"['Introduction and Review', 'Op Amps Part 1', 'Op Amps Part 2', 'Diodes Part 1', 'Diodes Part 2', 'MOSFETs', 'Bipolar Junction Transistors']","['Dr. Bonnie H. Ferri', 'Dr. Robert Allen Robinson, Jr.']",['Georgia Institute of Technology'],Physical Science and Engineering,https://www.coursera.org/learn/electronics
"Introduction to Biology: Ecology, Evolution, & Biodiversity Specialization",4.9,Beginner level,4 months at 3 hours a week,Flexible schedule,72 reviews,,"['Recording observations', 'Ecosystem Model', 'Examining ideas', 'Interpreting phylogenetic trees', 'Inspecting specimens', 'Researching scientific articles', 'Identifying species', 'Interdisciplinary thinking', 'Communicating scientific ideas', 'Concept mapping and visualization']","['Introduction to Biology: Ecology', 'Introduction to Biology: Evolution', 'Introduction to Biology: Biodiversity']",['Scott Solomon'],['Rice University'],Physical Science and Engineering,https://www.coursera.org/specializations/introduction-to-biology
Introduction to Engineering Mechanics,4.8,,Approx. 15 hours to complete,Flexible schedule,"4,775 reviews",,[],"['Forces and Particle Equilibrium', 'Define and Calculate Moments', 'Equilibrium and Equivalence of Force Systems', 'Free Body Diagrams and Equilibrium Analysis Techniques', 'Application of Static Equilibrium Equations']","['Dr. Wayne Whiteman, PE']",['Georgia Institute of Technology'],Physical Science and Engineering,https://www.coursera.org/learn/engineering-mechanics-statics
Electric Industry Operations and Markets,4.8,Beginner level,Approx. 7 hours to complete,Flexible schedule,"1,237 reviews",,[],"['Electric Industry Operations', 'Electricity Industry Markets']",['Lincoln Pratson'],['Duke University'],Physical Science and Engineering,https://www.coursera.org/learn/electricity
Embedding Sensors and Motors Specialization,4.6,Intermediate level,4 months at 10 hours a week,Flexible schedule,"1,119 reviews",Study a lab experiment or production process and understand how to specify the proper sensor solution for taking real-time process dataImplement the sensor into an embedded system in both hardware and softwareModify existing hardware schematic to add sensors and all support circuitry needed to implement the signal chain in existing microprocessor systemCreate hardware and firmware to process the sensor signal and feed data to a microprocessor for further evaluation,"['firmware', 'embedded engineering', 'hardware', 'sensor integration', 'motor design']","['Sensors and Sensor Circuit Design', 'Motors and Motor Control Circuits', 'Pressure, Force, Motion, and Humidity Sensors ', 'Sensor Manufacturing and Process Control']","['James Zweighaft', 'Jay Mendelson']",['University of Colorado Boulder'],Physical Science and Engineering,https://www.coursera.org/specializations/embedding-sensors-motors
Oil & Gas Industry Operations and Markets ,4.8,,Approx. 7 hours to complete,Flexible schedule,"5,729 reviews",,"['Energy', 'Geology', 'Directional Drilling', 'Enhanced Oil Recovery']","['Oil and Gas Operations and Technology', 'Oil and Gas Industry Markets']",['Lincoln Pratson'],['Duke University'],Physical Science and Engineering,https://www.coursera.org/learn/oilandgas
"Ethics, Technology and Engineering ",4.6,Beginner level,Approx. 19 hours to complete,Flexible schedule,712 reviews,,[],"['Introduction', 'The responsibility of engineers', 'Codes of conduct', 'Normative ethics', 'The ethical cycle', 'Ethical questions in the design of technology', 'Designing morality', 'Ethical aspects of technological risks', 'Distribution of responsibility', 'Exam']",['Lambèr Royakkers'],"['Eindhoven University of Technology', '4TU.Ethics']",Physical Science and Engineering,https://www.coursera.org/learn/ethics-technology-engineering
Wind Energy,4.7,,Approx. 34 hours to complete,Flexible schedule,"7,069 reviews",,"['Wind Energy', 'Materials', 'Wind Power', 'Wind Energy Engineering']","[' About this course', 'Wind Energy Economics: Value creation and metrices', 'Introduction to Wind Atlases and the Global Wind Atlas', 'Wind Farm Design and Optimization', 'Forecasting of Wind Power ', 'How and Why we measure the wind', 'Remote sensing for wind energy', 'Load measurements on wind turbines', 'One-Dimensional Momentum Theory and the Betz Limit for Maximum Power Production', 'Different Methods and Concepts for Harvesting Wind Energy', 'Composite Materials for Wind Energy ', 'Fatigue Phenomenon and Life Prediction', 'Blade Testing and Modeling', 'Blade design and manufacturing', 'Introduction to HVDC', 'Influence of fluctuating wind speed on system frequency and frequency control']","['Cathy Suo', 'Mac Gaunaa', 'Katherine Dykes', 'Mikael Sjöholm', 'Xiao Chen', 'Kenneth Thomsen', 'Xiaoli Guo Larsén', 'Jens Nørkær Sørensen', 'Martin Eder', 'Lena Kitzing', 'Lars Pilgaard Mikkelsen', 'Mike Courtney', 'Gregor Giebel', 'Jake Badger', 'Philipp Ulrich Haselbach', 'Hjörtur Jóhannsson']",['Technical University of Denmark (DTU)'],Physical Science and Engineering,https://www.coursera.org/learn/wind-energy
Fundamentals of GIS,4.8,Beginner level,26 hours (approximately),Flexible schedule,"5,472 reviews",Define core geospatial conceptsPractice with subset data using selections and feature attributesCreate map books using advanced mapping techniquesCreate layer and map packages,"['Spatial Analysis', 'Data Analysis', 'Data Visualization', 'Software']","['Course Introduction and Introduction to Geographic Information Systems (GIS)', 'ArcGIS Basics', 'Making Maps With Common Datasets', 'Retrieving and Sharing Data']","['Eric Howard', 'Nick Santos']","['University of California, Davis']",Physical Science and Engineering,https://www.coursera.org/learn/gis
Circular Economy - Sustainable Materials Management,4.8,Beginner level,Approx. 19 hours to complete,Flexible schedule,"1,814 reviews",,"['Environmental Policy', 'Policy Analysis', 'Business Model', 'Business Analysis', 'Material Design']","['Introduction - Materials', 'Circular Business Models', 'Circular Design, Innovation and Assessment', 'Policies and Networks', 'Circular Societies']","['Jeroen Gillabel', 'Dr. Yuliya Voytenko Palgan', 'Philip Peck', 'Jessika Luth Richter', 'Karl Vrancken', 'Sophie Sfez', 'Katherine Whalen', 'Julia Nußholz', 'Erika Faigen', 'David Peck', 'Konstantinos Modis', 'Saskia Manshoven']","['Lund University', 'EIT RawMaterials', 'VITO', 'Geological Survey of Denmark and Greenland', 'National Technical University of Athens', 'Ghent University', 'Delft University of Technology']",Physical Science and Engineering,https://www.coursera.org/learn/circular-economy
Autodesk CAD/CAM for Manufacturing Specialization,4.8,Intermediate level,2 months at 10 hours a week,Flexible schedule,644 reviews,"Summarize an understanding of computer aided design, manufacturing, and toolpath creation.   Practice design-related vocabulary and visual literacy to articulate your process and decisions.Demonstrate creative confidence and practice job ready CAD skills and CAM using Autodesk Fusion 360 software.","['Computer-Aided Manufacturing', 'Computer-Aided Design (CAD)', 'Autodesk', 'Mechanical Engineering', 'Manufacturing Processes']","['Introduction to CAD, CAM, and Practical CNC Machining', '3-Axis Machining with Autodesk Fusion 360', 'Creating Toolpaths for a CNC Lathe', 'Multi-Axis CNC Toolpaths']",[],['Autodesk'],Physical Science and Engineering,https://www.coursera.org/specializations/autodesk-cad-cam-manufacturing
Digital Signal Processing Specialization,4.6,Intermediate level,2 months at 10 hours a week,Flexible schedule,405 reviews,Discover discrete-time signal and analyze them with the Fourier transform.Learn to manipulate signals with filters.Move back and forth from the analog to the digital world.Learn about digital data communication and real-time DSP.,"['Fourier Analysis', 'Audio processing', 'Ipython', 'Convulsion', 'Data Transmission']","['Digital Signal Processing 1: Basic Concepts and Algorithms', 'Digital Signal Processing 2: Filtering', 'Digital Signal Processing 3: Analog vs Digital', 'Digital Signal Processing 4: Applications']","['Paolo Prandoni', 'Martin Vetterli']",['École Polytechnique Fédérale de Lausanne'],Physical Science and Engineering,https://www.coursera.org/specializations/digital-signal-processing
Battery Technologies Specialization,4.7,Beginner level,1 months at 10 hours a week,Flexible schedule,49 reviews," Course 1: Participants will learn basic operating principles of battery design for maximizing energy and power density for automotive applications.Course 2: Participants will learn active material, chemistry and manufacturing processes in various Zn and Ni battery selection and size application.Course 3: Participants will learn active materials, chemistry and manufacturing processes as they relate to Li based primary batteries.Course 4: Participants will learn components of battery management systems, cell balancing, state of charge and state of health estimation.","['battery management systems', 'battery charging', 'Electric Vehicles', 'battery types']","['Primary and Secondary Batteries', 'Zn and Ni Based Batteries', 'Lithium Based Batteries', 'Battery Comparison, Manufacturing, and Packaging', 'Batteries and Electric Vehicles']",['Arunachala Nadar Mada Kannan'],['Arizona State University'],Physical Science and Engineering,https://www.coursera.org/specializations/battery-technologies
Understanding Einstein: The Special Theory of Relativity,4.9,Beginner level,Approx. 80 hours to complete,Flexible schedule,"2,954 reviews",,[],"['Introduction to the Course, and Einstein in Context', 'Events, Clocks, and Reference Frames', 'Ethereal Problems and Solutions', 'The Weirdness Begins', 'Spacetime Switches', 'Breaking the Spacetime Speed Limit', 'Paradoxes to Ponder', 'To the Center of the Galaxy and Back']",['Larry Randles Lagerstrom'],['Stanford University'],Physical Science and Engineering,https://www.coursera.org/learn/einstein-relativity
Introduction to Embedded Systems Software and Development Environments,4.5,Intermediate level,Approx. 9 hours to complete,Flexible schedule,597 reviews,Classify the parts of an embedded systems developer’s Source Configuration Management (SCM)Implement a build system using GNU’s Make and GCC compiler toolsetsWrite C-programs to define data in different memory regions,"['Makefile', 'C Programming', 'Embedded C']","['Embedded System Development Components', 'Compilation with GCC and GNU Make', 'Memory Types, Segments and Management', 'Course 1 Final Assessment']",['Alex Fosdick'],['University of Colorado Boulder'],Physical Science and Engineering,https://www.coursera.org/learn/introduction-embedded-systems
Digital Manufacturing & Design Technology  Specialization,4.6,Beginner level,4 months at 10 hours a week,Flexible schedule,"3,659 reviews",,"['Artificial Intelligence (AI)', 'Digital Design', 'Manufacturing Engineer', 'Industry 4.0']","['Digital Manufacturing & Design', 'Digital Thread: Components', 'Digital Thread: Implementation', 'Advanced Manufacturing Process Analysis', 'Intelligent Machining', 'Advanced Manufacturing Enterprise', 'Cyber Security in Manufacturing  ', 'MBSE: Model-Based Systems Engineering ', 'Roadmap to Success in Digital Manufacturing & Design ']","['Ken English', 'Sara Behdad', 'Shambhu Upadhyaya', 'Rahul Rai', 'Amy Moore']","['The State University of New York', 'University at Buffalo']",Physical Science and Engineering,https://www.coursera.org/specializations/digital-manufacturing-design-technology
"Modern Robotics:  Mechanics, Planning, and Control Specialization",4.8,Intermediate level,4 months at 10 hours a week,Flexible schedule,901 reviews,,[],"['Modern Robotics, Course 1:  Foundations of Robot Motion', 'Modern Robotics, Course 2:  Robot Kinematics', 'Modern Robotics, Course 3:  Robot Dynamics', 'Modern Robotics, Course 4:  Robot Motion Planning and Control', 'Modern Robotics, Course 5:  Robot Manipulation and Wheeled Mobile Robots ', 'Modern Robotics, Course 6:  Capstone Project, Mobile Manipulation']",['Kevin Lynch'],['Northwestern University'],Physical Science and Engineering,https://www.coursera.org/specializations/modernrobotics
Plant Bioinformatic Methods Specialization,4.8,Beginner level,2 months at 10 hours a week,Flexible schedule,721 reviews,,"['Genetic Analysis', 'Bioinformatics Analysis', 'Evolution', 'Comparative Genomics']","['Bioinformatic Methods I', 'Bioinformatic Methods II', 'Plant Bioinformatics', 'Plant Bioinformatics Capstone']",['Nicholas James Provart'],['University of Toronto'],Physical Science and Engineering,https://www.coursera.org/specializations/plant-bioinformatic-methods
Semiconductor Packaging Specialization,4.6,Beginner level,1 months at 10 hours a week,Flexible schedule,30 reviews,Examine fundamental concepts and terms used in the Semiconductor Packaging industry.Explore various disciplines utilized in Semiconductor Packaging technologies.Anticipate future challenges associated with Semiconductor Packaging.Identify career opportunities in the field of Semiconductor Packaging. ,"['Quality control in semiconductor packaging', 'Materials selection and testing', 'Semiconductor applications', 'Manufacturing techniques for semiconductor packaging', 'Future trends and innovation in semiconductor packaging', 'Semiconductor packaging design']","['Introduction to Semiconductor Packaging', 'Semiconductor Packaging Manufacturing ', 'Advanced Semiconductor Packaging']",['Terry Alford'],['Arizona State University'],Physical Science and Engineering,https://www.coursera.org/specializations/semiconductor-packaging
Marine Biology,4.8,Beginner level,Approx. 6 hours to complete,Flexible schedule,111 reviews,,[],"['How have organisms adapted to living in the ocean?', 'What are the physical properties of the marine environment and how do they affect life?', 'How do species interact in the ocean?', 'Giants of the Sea: How did Blue Whales Get So Big? (A Case Study)', 'How are Marine Ecosystems Important?']",['John Sparks'],['American Museum of Natural History'],Physical Science and Engineering,https://www.coursera.org/learn/marine-biology
Real-Time Embedded Systems Specialization,3.9,Intermediate level,5 months at 10 hours a week,Flexible schedule,54 reviews,"Rate Monotonic theory and policiesMethods of Rate Monontoic analysisReal-time system design techniquesEngineering principles for allocating functionality and services to hardware, firmware or software implementation","['Fault Tolerance', 'Rate Monotonic Analysis', 'Real-Time Operating System (RTOS)', 'Linux On Embedded Systems', 'Asymmetric Multi-core Processing']","['Real-Time Embedded Systems Concepts and Practices', 'Real-Time Embedded Systems Theory and Analysis', 'Real-Time Mission-Critical Systems Design', 'Real-Time Project for Embedded Systems']",['Sam Siewert '],['University of Colorado Boulder'],Physical Science and Engineering,https://www.coursera.org/specializations/real-time-embedded-systems
Introduction to Sustainability,4.8,,Approx. 25 hours to complete,Flexible schedule,"2,542 reviews",,[],"['Orientation and Introduction', 'Population', 'Ecosystems and Climate Change', 'Energy', 'Water and Agriculture', 'Environmental Policy', 'Measuring Sustainability', 'Conclusion']",['Dr. Jonathan Tomkin'],['University of Illinois at Urbana-Champaign'],Physical Science and Engineering,https://www.coursera.org/learn/sustainability
Astronomy: Exploring Time and Space,4.8,Beginner level,Approx. 43 hours to complete,Flexible schedule,"3,571 reviews",,"['Solar Systems', 'Chemistry', 'Theory Of Relativity', 'Astrobiology']","['Astronomy: Exploring Time and Space', 'Science and History', 'The Night Sky', 'The Tools of Astronomy', 'Matter and Radiation', 'The Solar System', 'Exoplanets', 'Star Birth and Death', 'Galaxies', 'Cosmology', 'Life in the Universe']",['Chris Impey'],['University of Arizona'],Physical Science and Engineering,https://www.coursera.org/learn/astro
Introduction to Systems Engineering,4.7,,Approx. 22 hours to complete,Flexible schedule,742 reviews,,[],"['Course Welcome & Module 1 (Introduction to Systems and System Life Cycle)', 'Systems Engineering and its Relevance and Benefits', 'Needs and Requirements', 'Requirements Elicitation and Elaboration', 'Conceptual Design', 'Preliminary and Detailed Design', 'Construction, Production, and Utilisation', 'Systems Engineering Management', 'Final Exam and Information About Further Study']","['Dr Ian  Faulconbridge ', 'Dr Mike Ryan']",['UNSW Sydney (The University of New South Wales)'],Physical Science and Engineering,https://www.coursera.org/learn/systems-engineering
Solar Energy Basics,4.8,Beginner level,Approx. 15 hours to complete,Flexible schedule,"2,385 reviews",Calculate the energy usage at a locationDesign a basic photovoltaic system to meet a specific energy need at a specific locationDescribe financial models and trends in the photovoltaic energy field,"['Energy Audits', 'Renewable Energy', 'Solar Energy', 'Power & energy calculations', 'Electronic Circuits']","['Introduction to solar power systems', 'Determining energy needs and sizing a PV system', 'The growth of photovoltaic markets', 'Infrastructure of Photovoltaics', 'Basics of Solar Power Capstone']",['Neal Abrams'],['The State University of New York'],Physical Science and Engineering,https://www.coursera.org/learn/solar-energy-basics
Understanding Research Methods,4.6,,Approx. 5 hours to complete,Flexible schedule,"7,155 reviews",,[],"['E-tivity 1: What Is Research and What Makes a Good Research Question?', 'E-tivity 2: What Is a Literature Review and Why Do We Need to Do One?', 'E-tivity 3: Why Are Planning and Management Skills Important for Research?', 'E-tivity 4: How Do You Know You Have Been a Good Researcher at the End of a Project?']","['Dr J. Simon Rofe, SOAS, University of London', 'Dr Yenn Lee', 'Dr Dan Plesch, SOAS University of London']","['University of London', 'SOAS University of London']",Physical Science and Engineering,https://www.coursera.org/learn/research-methods
Spacecraft Dynamics and Control Specialization,4.8,Advanced level,3 months at 10 hours a week,Flexible schedule,309 reviews,"Apply transport theorem to differentiate vectors, derive frame dependent velocity and acceleration vectors, and solve kinematic particle problems, Translate between sets of attitude descriptions; add and subtract relative attitude descriptions for the movement of rigid bodiesApply the static stability conditions of a dual-spinner configuration to derive equations of motion for rigid bodies with momentum exchange devicesApply Lyapunov method to argue stability and convergence on a range of systems, analyze rigid body control convergence with unmodeled torque","['attitude dynamics', 'control of nonlinear attitude', 'kinetics', 'spacecraft motion', 'kinematics']","['Kinematics: Describing the Motions of Spacecraft', 'Kinetics: Studying Spacecraft Motion', 'Control of Nonlinear Spacecraft Attitude Motion', 'Spacecraft Dynamics Capstone: Mars Mission']",['Hanspeter Schaub'],['University of Colorado Boulder'],Physical Science and Engineering,https://www.coursera.org/specializations/spacecraft-dynamics-control
Sustainable Cities Specialization,4.6,Intermediate level,1 months at 10 hours a week,Flexible schedule,181 reviews,,"['energy efficiency and environmental protection', 'sustainable neighborhoods', 'sustainable buildings and green construction', 'transparency and public involvement', 'sustainability principles and planning']","['Sustainable Regional Principles, Planning and Transportation', 'Sustainable Neighborhoods', 'Sustainable Transportation Networks and Streetscapes', 'Transportation, Sustainable Buildings, Green Construction']",['William Roper'],['Johns Hopkins University'],Physical Science and Engineering,https://www.coursera.org/specializations/sustainablecities
Introduction to FPGA Design for Embedded Systems,4.6,Intermediate level,18 hours (approximately),Flexible schedule,"1,129 reviews",Describe what an FPGA is and how this technology was developedDetermine how to select the best FPGA architecture for a given applicationUse state of the art software tools for FPGA development and solve critical digital design problems using FPGAs,"['Primality Test', 'Verilog', 'Digital Design', 'Static Timing Analysis']","[""What's this programmable logic stuff anyway?  History and Architecture "", 'FPGA Design Tool Flow; An Example Design', 'FPGA Architectures:  SRAM, FLASH, and Anti-fuse', 'Programmable logic design using schematic entry design tools']",['Timothy Scherr'],['University of Colorado Boulder'],Physical Science and Engineering,https://www.coursera.org/learn/intro-fpga-design-embedded-systems
First Order Optical System Design,4.3,Advanced level,21 hours (approximately),Flexible schedule,304 reviews,"be able to design, to first order, such optical systems with simple mathematical and graphical techniques",[],"['Introduction to Geometrical Optics', 'Optical System Design in OpticStudio', 'First Order Ray Tracing', 'Thick Optics and Mirrors', 'First-Order Ray Tracing of Multi-Element Systems']",['Robert McLeod'],['University of Colorado Boulder'],Physical Science and Engineering,https://www.coursera.org/learn/first-order-optical-system-design
"Energy Production, Distribution & Safety Specialization",4.7,Beginner level,1 months at 10 hours a week,Flexible schedule,"5,673 reviews",,[],"['Electric Power Systems', 'Natural Gas', 'Safety in the Utility Industry ', 'Energy: The Enterprise']","['Richard Stempniak', 'Tom Russo', 'Ilya Grinberg', 'Martin Casstevens']","['The State University of New York', 'University at Buffalo']",Physical Science and Engineering,https://www.coursera.org/specializations/energy-industry
5G for Everyone,4.8,Beginner level,Approx. 13 hours to complete,Flexible schedule,343 reviews,"Gain an in-depth understanding of how 5G is revolutionizing the way we do business in the 2020s.Learn about the technologies that make 5G possible, including mmWave, Massive MIMO, RAN, and more.Learn how companies can take advantage of 5G Private Networks and Industrial IoT to transform the way they operate on a daily basis.Gain the base-level knowledge of 5G you need to continue your wireless education and advance in the rapidly-growing field of wireless technology.","['Wireless Network', 'Massive MIMO', 'Industrial IoT', '5G', 'mmWave']","['Wireless and Cellular Communications Overview', 'What is 5G and Why Do We Need It?', '5G Network and Features', '5G Spectrum and mmWave', 'Massive MIMO', '5G Radio Access Network (RAN)', '5G Private Networks and Industrial IoT', '5G Security']",['Nakul H. Navarange'],['Qualcomm Academy'],Physical Science and Engineering,https://www.coursera.org/learn/5g-training-qualcomm
Introduction to Chemistry:  Reactions and Ratios,4.7,Beginner level,Approx. 18 hours to complete,Flexible schedule,"1,177 reviews",,[],"['Introduction', 'Matter and Energy', 'Compounds', 'Chemical Composition and Reactions', 'Solutions and Solubility Rules', 'Acid-base and Redox Reactions', 'Final Exam']",['Prof. Dorian A. Canelas'],['Duke University'],Physical Science and Engineering,https://www.coursera.org/learn/intro-chemistry
21st Century Energy Transition: how do we make it work?,4.9,Beginner level,Approx. 16 hours to complete,Flexible schedule,68 reviews,"Understand the complexity of systems supplying energy to people around the  world Evaluate the merits and the costs associated with each major available energy  source    Explore competing viewpoints of how quickly, practically and effectively global  societies can transition to alternative energy sources ",[],"['Introduction to the 21st Century Energy Transition', 'Energy Sources and Production – Benefits and Challenges', 'Energy Storage', 'FAQs for the Energy Transition', 'How Do We Enable the Energy Transition?', 'Policy and Pathways to Support Energy Transition']",['Brad Hayes'],['University of Alberta'],Physical Science and Engineering,https://www.coursera.org/learn/21st-century-energy-transition
Additive Manufacturing Specialization,4.9,Beginner level,1 months at 10 hours a week,Flexible schedule,57 reviews," Students will compare and contrast different additive manufacturing processes and describe a typical AM process flow.  Students will identify three different modes of 3D printing: material extrusion, photopolymer resin processes, and powder bed fusion. Students will apply the DfAM staircase framework to make additive manufacturing decisions.","['Design for Additive Manufacturing', 'Build preparation', 'Post-processing requirements', 'Machine setup', 'Part Selection for Additive Manufacturing']","['Introduction to Additive Manufacturing Processes', 'Material Extrusion', 'Material Jetting and Stereolithography', 'Selective Laser Sintering and Metal Laser Powder Bed Fusion', 'Design for Additive Manufacturing']",['Dhruv Bhate'],['Arizona State University'],Physical Science and Engineering,https://www.coursera.org/specializations/additive-manufacturing
Sustainability Analyst Fundamentals Specialization,4.3,Beginner level,1 months at 10 hours a week,Flexible schedule,45 reviews,,"['Project Management', 'Data Analysis', 'Sustainability', 'Business Writing', 'Presentation']","['Careers in Sustainability', 'Sustainability Challenges for the Planet and Employers', 'Foundational Sustainability Skills & Competencies']",['Christopher Boone'],['Arizona State University'],Physical Science and Engineering,https://www.coursera.org/specializations/sustainability-analyst
